date,user,tweet,rt,fav,followers,verified,label
2022-07-11 13:38:08+00:00,borsaparatic,"Yıl 2020  Bist100 tarafında bilanço dönemi ve yoğun araştırmalarım sonucunda gözüme iki şirket kestirdim.

#Ttkom ve #Tcell şirketlerinin bilançolarının beklentinin üzerinde geleceği analiz ederek hem Viop hemde Varant kısmında iki hafta öncesinden kademeli mal toplamaya başladım",17,180,220342,False,
2022-07-10 10:16:06+00:00,ibrahim___ethem,"Bloomberg Businessweek’in 3 Temmuz tarihli özel sayısında #TAVHL’ın son yatırımları ve hedefleri ele alındı:
📍Tav,Avrupa veya Abd’de ihale peşinde koşmayacak,bununla hakim ortak Group ADP ilgilenecek. 
📍Tav ise gözünü, yüksek büyüme potansiyeli olan doymamış pazarlara dikti. 1️⃣",20,343,136873,False,
2022-07-09 20:53:12+00:00,ASIM_YALCINKAYA,"en UCUZ #BIST 100 #hisse'leri
#SAHOL 18,68&gt;44,8
#INDES 7,92&gt;17,8
#VESTL 23,9&gt;52,9
#BUCIM 2,35&gt;4,7
#GOZDE 8,1&gt;15,9
#EREGL 26,52&gt;48,2
#KRDMD 10,79&gt;19,3
#PETKM 8,36&gt;14,7
#ALGYO 31,96&gt;55,6
#CIMSA 33,42&gt;55,3
#ISMEN 18,81&gt;30,7
#AKBNK 8,09&gt;12,8
FKO DD FAVÖK son verilerle
Kendime Not YTD",107,934,138759,False,
2022-07-09 19:44:59+00:00,ibrahim___ethem,"Kısa notlarımı paylaşmaya başlıyorum.
Bayramda her gün 1 şirket.
1. Şişecam #sise 
📍Şişecam ile Ciner, ABD'de yapılacak en büyük Türk yatırımını (4 milyar dolar) hedefliyor. 
📍Böylece Şişecam’ın soda külü kapasitesi 5 Milyon tondan 10 Milyon tona çıkacak. Ne zaman ? 2027'de.1⃣",134,1529,136873,False,
2022-07-09 07:01:24+00:00,ibrahim___ethem,"📍İstanbul Havalimanı dün tarihinin en yüksek uçuş (1422) ve yolcu sayısına(230 bin) ulaştı.
📍#THYAO Haziran’da Dış hatlarda %83.2,iç hatlarda ise %87.2 doluluk oranına ulaştı.Haziran ayında taşınan kargo hacmi,2019 yılının aynı dönemine göre %17.7 artarak 146 bin tona ulaştı.",23,379,136873,False,
2022-07-08 13:02:50+00:00,ibrahim___ethem,"📍Fortune 500 listesinde 2020 ve 2021’de yer alan,
📍2020’den 2021’ye en az 40 basamak yükselen,
📍Yıldız pazarda yer alan hisseler:
#KMPUR 374’den 272👉🏻102 
#TIRE 298’den 225👉🏻73
#HEKTS 347’den 294👉🏻53
#EGPRO 271’den 222👉🏻49
#GESAN 488’den 440👉🏻48 basamak",62,665,136873,False,
2022-07-08 07:14:06+00:00,____PASA____,"Bi tatile gidip geldik 4-5 gün neler olmuş öyle. Bofa ,Eregl ye 18 tl hedef vermiş.Sevgili Bofa ,Allahaşkına 18 tl yapsana #Eregl yi..Bi şey deneyeceğim:-)).Sadece kendimi değil ,henüz yeni üniversite sınavına giren çocuğumu da emekli yapayım!!Hadi be yap bize bu kıyağı!!Şapşik.",79,1647,111568,False,
2022-07-08 07:12:06+00:00,kursadbucak,Madem kimse yok #bist30 tahtası çizelim hacim gelsin 😂😂,2,349,156030,False,
2022-07-07 19:16:07+00:00,ASIM_YALCINKAYA,"Malum 3 site taraması CUMA
GÜÇLÜ AL &amp; AL sinyalli #Bist hisseleri
#PEKGY 1,2 #THYAO 49,2
#PRKME 6,49 #SELEC 16,05
#NATEN 71 #KFEIN 25,02
#YATAS 14,76 #PENGD 5,45
#ITTFH 1,54 #KERVT 5,9
#INFO 10,87 #GLYHO 3,69
#ECILC 11,24 #TUKAS 14,17
#FONET 13,93 #YAYLA 4,78
Kendime Not YTD",10,132,138759,False,
2022-07-07 14:24:33+00:00,kursadbucak,"Hisse Senedi Dağılımım/Maliyetler
#EREGL %42.67  26,18
#TUPRS %19.77  245,1
#BIMAS %10.26  83,9
#KRDMD %8.61   10,50
#EKGYO %8.07    2,83
#ULKER %7.93    14,25
#LKMNH %2.69  16,41

Hayırlı uğurlu bereketli kazançlar nasip etsin
Çoluğumuzun çocuğumuzun rızkını artırsın, azaltmasın",96,1985,156030,False,
