date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-07-23 09:01:16+00:00,trader_black34,"Günaydın Borsa İstanbul ailesi,

Umarım çok güzel bir hafta sonu olur. Piyasaları tatilde pek düşünmeyin. Para kaybedilir, kazanılır giden vakit ise geri gelmez. Dinlenmeye bakın.

#bist100 #xu100 #thyao #asels #garan #eregl #bimas #ekgyo #odas #halkb #petkm #bucim #deva #eczyt",0,4,957,False,"['bist100', 'xu100', 'thyao', 'asels', 'garan', 'eregl', 'bimas', 'ekgyo', 'odas', 'halkb', 'petkm', 'bucim', 'deva', 'eczyt']",
2022-07-22 17:52:07+00:00,ZaferIn27193849,"Raporlara göre bilançoları yüksek gelecek hisseler,#tavhl,#toaso,#tupras,#ulker :(bu hisse adam değil),#thyao,#isdmr,#eregl,#ekgyo,#arclk,#bimas,",0,5,55,False,"['tavhl', 'toaso', 'tupras', 'ulker', 'thyao', 'isdmr', 'eregl', 'ekgyo', 'arclk', 'bimas']",
2022-07-22 15:49:09+00:00,GuppusT,"#haftalık Z raporu
#ıntem %16.54
#kgyo%16
#yeotk %10.95
#petkin%8.60
#tuprs%8.85
#ısctr%9.75
#bagfas%8.80
#arzum%4.50
#bımas%3.35
#elite %0.50
#sayas tırt
#brlsm tırt.",0,0,40,False,"['haftalık', 'ıntem', 'kgyo', 'yeotk', 'petkin', 'tuprs', 'ısctr', 'bagfas', 'arzum', 'bımas', 'elite', 'sayas', 'brlsm']",
2022-07-22 13:56:38+00:00,fatihozyurt98,Artık demir almak günü gelmişse zamandan meçhule giden bir gemi kalkar bu limandan #bimas,0,1,204,False,['bimas'],
2022-07-21 19:51:56+00:00,canferkalkavan,"Halen daha kar beklentisinden,bilançodan bahsediliyor ya bu  #bimas da delirmemek içten değil.Lan 2,5 senedir hangi bilançoyu fiyatladı ki bunu fiyatlasın.Patron yabancı kisvesi altında hisse satıp fiyatı baskılarken!!!",0,3,50,False,['bimas'],
2022-07-21 12:05:06+00:00,traderdem_,"#krdmr hacim artmaya basladi. Kapanisa dogru acikcilarin kapismasini izleyebiliriz 😊👍ytd

#bist100 
#EREGL 
#thyo
#bimas 
#garan
#SKRBNK 
#isdmr",0,1,331,False,"['krdmr', 'bist100', 'EREGL', 'thyo', 'bimas', 'garan', 'SKRBNK', 'isdmr']",
2022-07-21 11:18:41+00:00,BZorrosu,Bu kadar açık yaparsaniz bu piyasadan birsey olmaz herseyin b.kunu çıkardığınız gibi bununda çıkardınız #bimas #tcell ytd,0,0,961,False,"['bimas', 'tcell']",
2022-07-21 10:08:26+00:00,kydostuayazatam,"#pkent 💪

Hadi durmak yok...

#xu100 #xu030 #bist100 #viop #kchol #eregl
 #karsn #sise #ccola #bimas #tcell",1,2,10,False,"['pkent', 'xu100', 'xu030', 'bist100', 'viop', 'kchol', 'eregl', 'karsn', 'sise', 'ccola', 'bimas', 'tcell']",
2022-07-21 08:16:38+00:00,nigar3410,#bimas muazzam kar açıklayacak para çıkışı varmış gibi gösteriyorlar yersen 😅 Her düşüş alım fırsatıdır nakiti olan için,0,2,89,False,['bimas'],
2022-07-21 07:06:44+00:00,kydostuayazatam,"#Gunaydın 

Herkese bol kazançlar...

Bu arada teşekkürler #tuprs  💪😎

#bist100 #xu100 #viop #borsa #xbank #xu030 #bimas #eregl #kchol #GARAN",0,0,10,False,"['Gunaydın', 'tuprs', 'bist100', 'xu100', 'viop', 'borsa', 'xbank', 'xu030', 'bimas', 'eregl', 'kchol', 'GARAN']",
2022-07-21 07:02:46+00:00,Borsa_Ailesi,#bimas 85.55 den actigim aciga satisi  85 den kapatip izlemeye geçiyorum,0,0,3008,False,['bimas'],
2022-07-21 06:45:54+00:00,zela_060,"Kesinleşen blanço tarihleri
#toasa 26 temmuz
#froto 28       ""
#akgrt 1 Ağustos
#goody,#ttkom 8 Ağustos 
#ccola,#brısa,#enjsa,#kozal,#mgros,9 Ağustos
#thyao 10 ,#aksa,#mpark,#sahol 11, Ağustos
#ENKAI 17,#Alark 18,#bımas,#doas 19 Ağustos
#vesbe 30 Ağustos...",6,23,6881,False,"['toasa', 'froto', 'akgrt', 'goody', 'ttkom', 'ccola', 'brısa', 'enjsa', 'kozal', 'mgros', 'thyao', 'aksa', 'mpark', 'sahol', 'ENKAI', 'Alark', 'bımas', 'doas', 'vesbe']",
2022-07-20 15:00:56+00:00,8Ketuda,#bimas 1k lot kayıpla fena gün değildi,0,0,313,False,['bimas'],
2022-07-20 11:57:20+00:00,B0RSAM0NEY,"🟢 AYDA EN AZ %30 KAR GARANTİSİ 

🔵 DETAYLI BİLGİ İÇİN MESAJ ATINIZ!!!

 #zoren #afyon #aksen #bimas  #bizim #bist100",0,0,5041,False,"['zoren', 'afyon', 'aksen', 'bimas', 'bizim', 'bist100']",
2022-07-20 11:56:47+00:00,Eco_Analiz,#bimas bu hissede sıkıntı var arkadaş dar bandda gidip geliyor burdan satıp seneye aynı yerlerden alma şansınız var yani o kadar,0,3,1028,False,['bimas'],
2022-07-20 10:58:06+00:00,maydanozcuk,hadi yavf darılcam ama #bımas,0,0,42,False,['bımas'],
2022-07-20 10:06:57+00:00,MoneeeyMan,"Şimdi ağustosun ortası sonu gibi #asuzu ' dan çıksak.. oradan #bimas alsak.. bir %30-40 1-2 ayda ondan alsak sonra 13.000$'dan #btc alsak.. 1,5 sene yatsak.. bu 1,5 sene de $ bazlı 6-7 x tl bazlı ise 30 x yapsak sonra çıksak 2 ayda #eth ' den $ bazlı 3x alsak nasıl olurdu ..",0,6,108,False,"['asuzu', 'bimas', 'btc', 'eth']",
2022-07-20 09:23:51+00:00,EnfalX,#bimas hadi bakalım,0,2,473,False,['bimas'],
2022-07-20 07:25:03+00:00,Borsa_Ailesi,"Yeni hissemiz aciga satis olucak. Kisa vade islem olucak
#bimas 85.55 aciga sat

86.3 ustu kapanislar stop

Hedefler 83 ve 81

Ytd.",1,3,3008,False,['bimas'],
2022-07-20 07:21:34+00:00,_kendinceTrader,"#borsa da bilanço dönemi gelmişken hala 6 bilanço dönemi önceki fiyatıyla fiyatlanan #bimas ı 85 ten, petrokimya faaliyetlerinin öncüsü 3fk lı #petkm i 8,80 den, 400₺ hedef verilen #froto yu 260 dan ve #hrc toparlamışken #eregl i 28 den YEDİRİRLER mi bilmem 🙂

#bist100",1,2,668,False,"['borsa', 'bimas', 'petkm', 'froto', 'hrc', 'eregl', 'bist100']",
2022-07-20 07:05:34+00:00,traderdem_,"#TTKOM 8.87 isleme giris... 9.27 civari ilk hedefim. primsiz kalanlardan... ytd!

#bist100 #BIST30 #thyo #eregl #bimas #GARAN",0,1,331,False,"['TTKOM', 'bist100', 'BIST30', 'thyo', 'eregl', 'bimas', 'GARAN']",
