date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-07-23 20:20:48+00:00,FinansDunyamm,"Piyasa Değeri En Yüksek #BIST30 Şirketleri

• #EREGL 97.790.000.000 TL
• #SASA 95.289.000.000 TL
• #FROTO 91.166.000.000 TL
• #KCHOL 89.162.000.000 TL",0,1,32,False,"['BIST30', 'EREGL', 'SASA', 'FROTO', 'KCHOL']",
2022-07-23 18:24:52+00:00,TutVe,"Selamlar. Demir çelikte sektöründeki son gelişmeleri aktaralım. Maliyet kalemleri : 1-Hurda fiyatları düşmeye devam ediyor, 380 dolarları gördük. 2-hcc kömürde de ciddi düşüşler var, 250 dolar bandındayız. Yurt içi #hrc fiyatlarını belirleyecek unsurlar:

#eregl
#isdmr
#kardemir",1,12,511,False,"['hrc', 'eregl', 'isdmr', 'kardemir']",
2022-07-23 18:13:12+00:00,vecnaelliott,"İncelememi istediğiniz coinleri, hisseleri vs yazın, bu hafta hepsini analizleyip paylaşacağım :)

En azından önümüzdeki süreci birlikte görelim.

#XU100 #SPX #BTCUDT #THYAO #EREGL #SASA #KOZAA #bist100 #BORSA #kripto",2,4,177,False,"['XU100', 'SPX', 'BTCUDT', 'THYAO', 'EREGL', 'SASA', 'KOZAA', 'bist100', 'BORSA', 'kripto']",
2022-07-23 17:44:43+00:00,tolgarohan,"Bugün itibariyle Youtube ve Netflix üyeliklerimi de sonlandırdım. Nereden baksanız 4 #eregl parası verip çok da verim alamadığım iki şey. Youtube’ta iki reklamı geç derim, Netflix’ten de bir şey izlemiyorum zaten. Better Call Saul gelirse bir aylık dönüş yapar geri iptal ederim:)",0,1,764,False,['eregl'],
2022-07-23 17:33:47+00:00,temelci_trader,"#dzgyo 3.50 çanağı tamamlarsa söz veriyorum 6 takipçime yemek ısmarlayacağım bunların biri @OSAHIN_07
Diğer 5 kişiyi kura ile belirleyeceğim ☺️
Ödül az ama maksat etkileşim olsun mesafe uzun olup buluşamasakta hesaplarına atacağım #bist100 #bist #asels #garan #endeks #eregl #mavi",0,7,157,False,"['dzgyo', 'bist100', 'bist', 'asels', 'garan', 'endeks', 'eregl', 'mavi']",
2022-07-23 17:30:09+00:00,TheTraderT1,"#bist100 de kötü alışkanlıklar

1) Sisteminizi sık sık değiştirmek
2) Stop olamamak 
3) Çok hızlı kar elde etme isteği 
4) Hırs
5) Aşırı işlem
6) Tüyo 
7) Hisse seçimindeki yanlışlıklar 
8) Sabredememek

#thyao #doco #tavhl #pgsus #arclk #egeen #vestl #otkar #toaso #froto #eregl",0,49,30523,False,"['bist100', 'thyao', 'doco', 'tavhl', 'pgsus', 'arclk', 'egeen', 'vestl', 'otkar', 'toaso', 'froto', 'eregl']",
2022-07-23 17:29:53+00:00,Ilyas_Karahanli,"#sasa #hekts #eregl 
Neden #tasarruf #birikim ve #yatırım yapiyorum : Orta yaşlar ve yaşlılık zamanım geldiğinde çalışmak ( #zorunda ) olmak istemediğim için yatırm yapmaya başladım. Bu ve benim diğer isteklerime de ulasmami  sağlayacak bir hedeftir. #aile me #kendime #sevdiğim",0,0,207,False,"['sasa', 'hekts', 'eregl', 'tasarruf', 'birikim', 'yatırım', 'zorunda', 'aile', 'kendime', 'sevdiğim']",
2022-07-23 17:21:20+00:00,baba_ve_kizi,"Ne zamandır anket yapmıyorduk arkadaşlar
Temettü emeklilisi olduğunuzda hedefiniz aylık kaç asgari ücret bugünün sartlariyla

#bist100 #BIST30 #EREGL #sasa #hekts #kontr #aksa #froto #tuprs #temettueemekliliği #hisse #THYAO #BIMAS #DolarTL #endeks #emeklilik #anket #BorsaIstanbul",1,0,450,False,"['bist100', 'BIST30', 'EREGL', 'sasa', 'hekts', 'kontr', 'aksa', 'froto', 'tuprs', 'temettueemekliliği', 'hisse', 'THYAO', 'BIMAS', 'DolarTL', 'endeks', 'emeklilik', 'anket', 'BorsaIstanbul']",
2022-07-23 16:25:40+00:00,halkaarzz,"🔥 Obase Bilgisayar ve Danışmanlık Hizmetleri Tic. A.Ş. (OBASE) Halka Arz Detayları Belli Oldu ‼️
🎯 28-29 Temmuz 2022
🎯 Eşit Dağıtım
🎯 14.000.000 toplam lot
🎯 10,50₺

#bist100 #halkaarz #makim #eregl #KRDMD #borsa",2,57,51855,False,"['bist100', 'halkaarz', 'makim', 'eregl', 'KRDMD', 'borsa']",
2022-07-23 16:03:00+00:00,hissediyoruz,"Borsada günlükte ve haftalıkta MACD pozitife dönen 13 HİSSE birazdan sizlerle olacak!

Kimler beklemede?:)

#borsa #bist100 #garan #petkm #asels #odas #krvgd #altın #dolar #tkuru #yesil #gubrf #tavhl #tkfen #arclk #kchol #thyao #mgros #rtalb #eregl #krdmd #hekts #sasa #btc #xrp",2,39,10784,False,"['borsa', 'bist100', 'garan', 'petkm', 'asels', 'odas', 'krvgd', 'altın', 'dolar', 'tkuru', 'yesil', 'gubrf', 'tavhl', 'tkfen', 'arclk', 'kchol', 'thyao', 'mgros', 'rtalb', 'eregl', 'krdmd', 'hekts', 'sasa', 'btc', 'xrp']",
