date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-07-23 20:27:35+00:00,MoneeeyMan,"#TOASO #OTKAR #FROTO #ASUZU #KARSN  Değerli takipçilerim sektörün genel bilgilerini paylaştım, nasıl yorumluyorsunuz , yorumlamaktan çekinmeyin. Burada bir nebze finansal okuryazarlık ondan öte mantık var herkes yorumlayabilir. Burada bir hisse alacak olsanız hangisi olurdu?",0,1,108,False,"['TOASO', 'OTKAR', 'FROTO', 'ASUZU', 'KARSN']",
2022-07-23 20:20:48+00:00,FinansDunyamm,"Piyasa Değeri En Yüksek #BIST30 Şirketleri

• #EREGL 97.790.000.000 TL
• #SASA 95.289.000.000 TL
• #FROTO 91.166.000.000 TL
• #KCHOL 89.162.000.000 TL",0,1,32,False,"['BIST30', 'EREGL', 'SASA', 'FROTO', 'KCHOL']",
2022-07-23 17:30:09+00:00,TheTraderT1,"#bist100 de kötü alışkanlıklar

1) Sisteminizi sık sık değiştirmek
2) Stop olamamak 
3) Çok hızlı kar elde etme isteği 
4) Hırs
5) Aşırı işlem
6) Tüyo 
7) Hisse seçimindeki yanlışlıklar 
8) Sabredememek

#thyao #doco #tavhl #pgsus #arclk #egeen #vestl #otkar #toaso #froto #eregl",0,50,30522,False,"['bist100', 'thyao', 'doco', 'tavhl', 'pgsus', 'arclk', 'egeen', 'vestl', 'otkar', 'toaso', 'froto', 'eregl']",
2022-07-23 17:21:20+00:00,baba_ve_kizi,"Ne zamandır anket yapmıyorduk arkadaşlar
Temettü emeklilisi olduğunuzda hedefiniz aylık kaç asgari ücret bugünün sartlariyla

#bist100 #BIST30 #EREGL #sasa #hekts #kontr #aksa #froto #tuprs #temettueemekliliği #hisse #THYAO #BIMAS #DolarTL #endeks #emeklilik #anket #BorsaIstanbul",1,0,449,False,"['bist100', 'BIST30', 'EREGL', 'sasa', 'hekts', 'kontr', 'aksa', 'froto', 'tuprs', 'temettueemekliliği', 'hisse', 'THYAO', 'BIMAS', 'DolarTL', 'endeks', 'emeklilik', 'anket', 'BorsaIstanbul']",
2022-07-23 17:12:29+00:00,Relax63600428,#froto Elektrikli arabalar İN Benzin Mazot Gaz OUT,0,0,213,False,['froto'],
2022-07-23 16:14:00+00:00,Relax63600428,#froto 28 Temmuz Perşembe Bilanço günü,0,0,213,False,['froto'],
2022-07-23 16:13:45+00:00,Relax63600428,#froto otomobil şirketleri elektrik arabaları ile popüler olacak,0,0,213,False,['froto'],
2022-07-23 13:18:51+00:00,Mustafa93553233,#froto yaprak süt hissesini takibe alın uçuracaklar,0,0,3,False,['froto'],
2022-07-23 13:16:30+00:00,AtifSohoglu,"Bilanço haftası;

Tahminlerim, 

#TOASO  -&gt; 1,8 Milyar/26.07
#FROTO -&gt; 3,5 Milyar/28.07
#EREGL -&gt; 8 Milyar/11.08
#AKSA -&gt; 1 Milyar/11.08
#KRVGD -&gt; 150 Milyon/19.08

Sonrasında yaklaşma yüzdeliklerine bakması kolay olur.",0,1,10,False,"['TOASO', 'FROTO', 'EREGL', 'AKSA', 'KRVGD']",
2022-07-23 11:10:41+00:00,modimadi06,"Türkiye, yılın ilk yarısında 4 milyar 590 milyon 207 bin dolarlık binek otomobil ihraç etti. Ocak-haziran döneminde binek otomobil ihracatının 3’te 1’i Fransa, Birleşik Krallık ve İspanya’ya gerçekleştirildi.  #froto #doas #toaso #asuzu",2,4,359,False,"['froto', 'doas', 'toaso', 'asuzu']",
