date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-07-23 22:52:36+00:00,Alper_Denizer,"*** ELEŞTİRİ  YAPMAK YASAK ***

-   GOLD_HİSSE 
-   İBRAHİM MERT ŞAHİN

tarafından engellendim..
çok çok hafif ve kibar bir eleştiri yapmıştım.
#bist100 #eregl #sasa #arclk #tuprs #thyao #dohol #alark #kchol #sahol #akbnk #garan",0,0,28,False,"['bist100', 'eregl', 'sasa', 'arclk', 'tuprs', 'thyao', 'dohol', 'alark', 'kchol', 'sahol', 'akbnk', 'garan']",
2022-07-23 22:29:11+00:00,bigborsa,"Recep gidiyor mu?

#mgros #viop #GARAN #THYAO #AKBNK #KCHOL #SISE #SAHOL #BIMAS #YKBNK #ISCTR #EKGYO #KOZAL #EREGL #TUPRS #ASELS #FROTO #KOZAA #SASA #HEKTS #KRDMD #SKBNK #TCELL #KARSN #TTKOM #VAKBN #TAVHL #GLYHO #DOHOL #AKSA #PGSUS #KONKA #ARCLK #ALARK #usd #bagfs #dolar #eur",1,1,11448,False,"['mgros', 'viop', 'GARAN', 'THYAO', 'AKBNK', 'KCHOL', 'SISE', 'SAHOL', 'BIMAS', 'YKBNK', 'ISCTR', 'EKGYO', 'KOZAL', 'EREGL', 'TUPRS', 'ASELS', 'FROTO', 'KOZAA', 'SASA', 'HEKTS', 'KRDMD', 'SKBNK', 'TCELL', 'KARSN', 'TTKOM', 'VAKBN', 'TAVHL', 'GLYHO', 'DOHOL', 'AKSA', 'PGSUS', 'KONKA', 'ARCLK', 'ALARK', 'usd', 'bagfs', 'dolar', 'eur']",
2022-07-23 21:04:04+00:00,o1borsafatihi,"bazı hisseler ile ilgili soru geliyor.
#aefes #ccola #garan #ısyat #skbnk #ykbnk #akbnk #halkb #vakbn #crdfa #garfa #lıdfa #ulufa ve türevlerine asla bakmayacağımı, hepsi uçsalar bile işlem yapmayacağımı, kredili işlem, viop işlem ve açığa satış. kırmızı çizgim. bu böyle biline",0,3,437,False,"['aefes', 'ccola', 'garan', 'ısyat', 'skbnk', 'ykbnk', 'akbnk', 'halkb', 'vakbn', 'crdfa', 'garfa', 'lıdfa', 'ulufa']",
2022-07-23 19:35:13+00:00,bigborsa,"Bankalarla ilgili yazmaya devam. 

* Eger aniden erken secim ilan edilirse ya da politika degistirilirse bankalar en cok kazandiran hisseler olur.

* Benim banka siralamamda hep ilk sirada #ISCTR var.

* Digerleri de iyi olabilir. #YKBNK #GARAN #AKBNK #TSKB #VAKBN #SKBNK #HALKB",0,11,11448,False,"['ISCTR', 'YKBNK', 'GARAN', 'AKBNK', 'TSKB', 'VAKBN', 'SKBNK', 'HALKB']",
2022-07-23 19:10:54+00:00,bigborsa,"Bu hafta sonu bankalara odaklanmamin asil sebebi bankalarda oynayacagim. 

Gercekleri gormek ama trade icin firsatlarini kacirmamak gerekir.

#garan kendi hissesini geri aldi, bence bunun anlami bu heriften kurtulacagimiza inandilar.",1,13,11448,False,['garan'],
2022-07-23 18:13:29+00:00,TraderBroo,"Haftalık Liste Dışı Seans İçi Vurguladıklarımızdan
#ISFIN-#GARAN-#BAGFS-#YEOTK
#KLKIM-#TTKOM-#KRVGD-#TAVHL
#CIMSA-#KTSKR-#TUPRS-#ERCB
#SKBNK-#GEREL-#TKFEN-#ULUFA
#EGGUB-#AGHOL-#KLGYO-#DYOBY
Güzel Getiriler Sağladılar
RT ve Beğenilerinizi Bekliyorum👍👍
KesinlikleY.T.D.
🧿🍀🙏👍👋",16,174,65622,False,"['ISFIN', 'GARAN', 'BAGFS', 'YEOTK', 'KLKIM', 'TTKOM', 'KRVGD', 'TAVHL', 'CIMSA', 'KTSKR', 'TUPRS', 'ERCB', 'SKBNK', 'GEREL', 'TKFEN', 'ULUFA', 'EGGUB', 'AGHOL', 'KLGYO', 'DYOBY']",
2022-07-23 17:33:47+00:00,temelci_trader,"#dzgyo 3.50 çanağı tamamlarsa söz veriyorum 6 takipçime yemek ısmarlayacağım bunların biri @OSAHIN_07
Diğer 5 kişiyi kura ile belirleyeceğim ☺️
Ödül az ama maksat etkileşim olsun mesafe uzun olup buluşamasakta hesaplarına atacağım #bist100 #bist #asels #garan #endeks #eregl #mavi",0,7,158,False,"['dzgyo', 'bist100', 'bist', 'asels', 'garan', 'endeks', 'eregl', 'mavi']",
2022-07-23 16:03:00+00:00,hissediyoruz,"Borsada günlükte ve haftalıkta MACD pozitife dönen 13 HİSSE birazdan sizlerle olacak!

Kimler beklemede?:)

#borsa #bist100 #garan #petkm #asels #odas #krvgd #altın #dolar #tkuru #yesil #gubrf #tavhl #tkfen #arclk #kchol #thyao #mgros #rtalb #eregl #krdmd #hekts #sasa #btc #xrp",2,41,10784,False,"['borsa', 'bist100', 'garan', 'petkm', 'asels', 'odas', 'krvgd', 'altın', 'dolar', 'tkuru', 'yesil', 'gubrf', 'tavhl', 'tkfen', 'arclk', 'kchol', 'thyao', 'mgros', 'rtalb', 'eregl', 'krdmd', 'hekts', 'sasa', 'btc', 'xrp']",
2022-07-23 16:02:16+00:00,ZaferIn27193849,"bu hafta takib listem tek sebep bilanço bereketi fakirin umudu bitmez,#toaso,#tavhl,#garan,#akgrt,#goody,#ttkom,#brisa,#ccola,#enejsa,#kozal,#migros,#thyao ,10 ağostosa kadar,YTD",0,4,55,False,"['toaso', 'tavhl', 'garan', 'akgrt', 'goody', 'ttkom', 'brisa', 'ccola', 'enejsa', 'kozal', 'migros', 'thyao']",
2022-07-23 16:01:07+00:00,HalkaArzStore,"💥 💎 OBASE BİLGİSAYAR VE DANIŞ. HİZM. TİC. A.Ş. #OBASE

♦️ 14.000.000 Lot
🗓 28-29 Temmuz Perş. Cuma
♦️ Eşit Dağıtım, 10,50₺ Fiyat
♦️ T+1, T+2 ile de, Tüm Banka ve Aracı Kurumlardan katılabilirsiniz.
♦️ 147.000.000₺ Arz Büyüklüğü
#kochl #isctr #eregl #asels #conse #garan #usd",0,0,402,False,"['OBASE', 'kochl', 'isctr', 'eregl', 'asels', 'conse', 'garan', 'usd']",
