date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-07-23 21:57:20+00:00,finansalyazar,"Üşendim #eregl #isdmr 2019 #egeen #hekts notlarını atmaya.
Bist 100 hisseleri ağırmış da gitmezmiş de...
Gider hem de o stresi yaşamazsınız.
Yatırımın 1. Kuralı olası ""kötü bir fiyatlamada, kriz de vs ortağı olmaktan mutsuz olmayacağın şirkete ortak olmaktır"".",1,52,31194,False,"['eregl', 'isdmr', 'egeen', 'hekts']",
2022-07-23 17:29:53+00:00,Ilyas_Karahanli,"#sasa #hekts #eregl 
Neden #tasarruf #birikim ve #yatırım yapiyorum : Orta yaşlar ve yaşlılık zamanım geldiğinde çalışmak ( #zorunda ) olmak istemediğim için yatırm yapmaya başladım. Bu ve benim diğer isteklerime de ulasmami  sağlayacak bir hedeftir. #aile me #kendime #sevdiğim",0,0,207,False,"['sasa', 'hekts', 'eregl', 'tasarruf', 'birikim', 'yatırım', 'zorunda', 'aile', 'kendime', 'sevdiğim']",
2022-07-23 17:21:20+00:00,baba_ve_kizi,"Ne zamandır anket yapmıyorduk arkadaşlar
Temettü emeklilisi olduğunuzda hedefiniz aylık kaç asgari ücret bugünün sartlariyla

#bist100 #BIST30 #EREGL #sasa #hekts #kontr #aksa #froto #tuprs #temettueemekliliği #hisse #THYAO #BIMAS #DolarTL #endeks #emeklilik #anket #BorsaIstanbul",1,0,449,False,"['bist100', 'BIST30', 'EREGL', 'sasa', 'hekts', 'kontr', 'aksa', 'froto', 'tuprs', 'temettueemekliliği', 'hisse', 'THYAO', 'BIMAS', 'DolarTL', 'endeks', 'emeklilik', 'anket', 'BorsaIstanbul']",
2022-07-23 16:03:00+00:00,hissediyoruz,"Borsada günlükte ve haftalıkta MACD pozitife dönen 13 HİSSE birazdan sizlerle olacak!

Kimler beklemede?:)

#borsa #bist100 #garan #petkm #asels #odas #krvgd #altın #dolar #tkuru #yesil #gubrf #tavhl #tkfen #arclk #kchol #thyao #mgros #rtalb #eregl #krdmd #hekts #sasa #btc #xrp",2,40,10783,False,"['borsa', 'bist100', 'garan', 'petkm', 'asels', 'odas', 'krvgd', 'altın', 'dolar', 'tkuru', 'yesil', 'gubrf', 'tavhl', 'tkfen', 'arclk', 'kchol', 'thyao', 'mgros', 'rtalb', 'eregl', 'krdmd', 'hekts', 'sasa', 'btc', 'xrp']",
2022-07-23 14:02:20+00:00,GercekDesifre,"Uzun vadeli yatırımın önemi..
#EGSER (2016 - 1.98TL) (2022-27.52TL)
#TTRAK (2016-28,49TL) (2022-231.90TL)
#SASA (2016-0,20TL) (2022-41,30)
#HEKTS (2016-0,28TL) (2022-32,46TL)
#AKSA (2016-4,85TL) (2022-57,80TL)
#EREGL (2016-4,54TL) (2022-28,08TL)
#VESBE #ALKIM #EREGL #BRISA #OTKAR",0,3,436,False,"['EGSER', 'TTRAK', 'SASA', 'HEKTS', 'AKSA', 'EREGL', 'VESBE', 'ALKIM', 'EREGL', 'BRISA', 'OTKAR']",
2022-07-23 12:05:00+00:00,hissediyoruz,"Cuma günkü kapanışla birlikte haftalık mum formasyonu oluşan 6 HİSSE ve BORSA YORUMU birazdan sizlerle olacak!

Kimler beklemede?:)

#borsa #garan #ykbnk #odas #krdmd #karsn #petkm #eregl #asels #thyao #sise #izmdc #isctr #ttkom #tknsa #sasa #usak #hekts #tavhl #tmsn #bera #desa",0,34,10783,False,"['borsa', 'garan', 'ykbnk', 'odas', 'krdmd', 'karsn', 'petkm', 'eregl', 'asels', 'thyao', 'sise', 'izmdc', 'isctr', 'ttkom', 'tknsa', 'sasa', 'usak', 'hekts', 'tavhl', 'tmsn', 'bera', 'desa']",
2022-07-23 08:03:36+00:00,cambilyeler1,"#GZNMI 
👉38 ₺ den 52₺ ye 
👉hedef  xxx üç haneli rakam  
👉%600 bedelsiz beklentisi 
👉ve küçük küçük sürprizler  takip et  sen de kazan 
#bist100 #thyao #petkm #hekts
Twitter
👇
@PatroneTheBist
telagram
👇",0,0,8,False,"['GZNMI', 'bist100', 'thyao', 'petkm', 'hekts']",
2022-07-23 06:53:55+00:00,selimge29587662,"🩸10 yıllıkta yatrmcisina $ bazlı kazandıran veya kaybettirmyn (bnm hatrladğm) 6 şirket var: #iskur #sasa #doco💌 #hekts #info #aksa 
💊 diğer 560 şirkt ÇÖP

👉🏾her kim TL hissesenedinde (uzun vade + temettü yatırımı) savunuyosa ŞARLATAN CAHİL kalleştir #krdmd #logo #fonet",0,20,1839,False,"['iskur', 'sasa', 'doco', 'hekts', 'info', 'aksa', 'krdmd', 'logo', 'fonet']",
2022-07-23 06:27:10+00:00,TemettuUv,"En beğendigim büyüme hisseleri serisi 1'incisi:1)#froto🎯,2)#sıse✍,3)#logo🎯,4)#arclk✍,5)#sasa🎯,6)#kords✍,7)#vesbe🎯,8)#tuprs✍,9)#ttrak🎯,10)#hekts.Gelecekte uzun vadede bu hisseler bambaşka yerlerde olur diye inanıyorum.",25,270,4932,False,"['froto', 'sıse', 'logo', 'arclk', 'sasa', 'kords', 'vesbe', 'tuprs', 'ttrak', 'hekts']",
2022-07-22 23:06:26+00:00,vural_kirez,"Bu seneki #EREGL hedefimi tamamladım. Sizce ilk hangisine yoğunlaşayım.

#sasa 500/250
#HEKTS 340/125
#vesbe 2000/1400
#sise 1000/370",0,5,1058,False,"['EREGL', 'sasa', 'HEKTS', 'vesbe', 'sise']",
2022-07-22 22:02:02+00:00,acalayir,"#thyao
#froto
#sasa
#hekts
Senin tercihin Hangisi olurdu?",0,3,19522,False,"['thyao', 'froto', 'sasa', 'hekts']",
2022-07-22 21:54:22+00:00,ncdt28167396,"#kchol bereket versin Hocam. 😎 @ndegitim Emeğine , yüreğine , kalbine , bizlere ayırdığın zamana sağlık. #ndkolay #haftalikteknikanaliz #haftaliktakiplistesi #haftaliktaramalistesi #bist #borsa #endeks #kazanç #eregl #sasa #sise #thyao #karsn #tekfn #hekts",10,17,33,False,"['kchol', 'ndkolay', 'haftalikteknikanaliz', 'haftaliktakiplistesi', 'haftaliktaramalistesi', 'bist', 'borsa', 'endeks', 'kazanç', 'eregl', 'sasa', 'sise', 'thyao', 'karsn', 'tekfn', 'hekts']",
2022-07-22 21:19:10+00:00,Cmlghll,"Artık bist %70 ky de bilginize:))

#bist #ulufa #tskb #ptkim #sise #thyao #asels #garan #uluse #izfas #edata #rheag #crdfa #lidfa #halkb #eregl #krdmd #sasa #naten #hekts #dolar #cante",0,3,59,False,"['bist', 'ulufa', 'tskb', 'ptkim', 'sise', 'thyao', 'asels', 'garan', 'uluse', 'izfas', 'edata', 'rheag', 'crdfa', 'lidfa', 'halkb', 'eregl', 'krdmd', 'sasa', 'naten', 'hekts', 'dolar', 'cante']",
2022-07-22 20:23:47+00:00,FinansSohbet,"Ciddi, akıl sağlığı yaşayan bireylerimiz var. Zorlu ekonomik koşullar ve #bist100 deki sürekli patinaj bu psikolojik sendromların açığa çıkmasına neden oluyor. Başka izah bulamıyorum. #sasa #eregl #hekts #izmdc hakkında hakkım olmasına rağmen, yorum yapmayı zaten kestim. PES!",0,76,27087,False,"['bist100', 'sasa', 'eregl', 'hekts', 'izmdc']",
2022-07-22 19:50:48+00:00,0abe2b72082e4a1,"Gelişmekte olan ülkelerde uzun vadeli yatırım önemlidir.

• #FROTO  (2016 - 34TL)     (2022 - 266TL)
• #SASA    (2016 - 0,20TL) (2022 - 41,30)
• #HEKTS  (2016 - 0,28TL) (2022 - 32,46TL)
• #AKSA    (2016 - 4,85TL) (2022 - 57,80TL)
• #EREGL  (2016 - 4,54TL) (2022 - 28,08TL)",2,5,20,False,"['FROTO', 'SASA', 'HEKTS', 'AKSA', 'EREGL']",
2022-07-22 19:29:00+00:00,FinansDunyamm,"Gelişmekte olan ülkelerde uzun vadeli yatırım önemlidir.

• #FROTO  (2016 - 34TL)     (2022 - 266TL)
• #SASA    (2016 - 0,20TL) (2022 - 41,30)
• #HEKTS  (2016 - 0,28TL) (2022 - 32,46TL)
• #AKSA    (2016 - 4,85TL) (2022 - 57,80TL)
• #EREGL  (2016 - 4,54TL) (2022 - 28,08TL)",0,2,32,False,"['FROTO', 'SASA', 'HEKTS', 'AKSA', 'EREGL']",
2022-07-22 19:22:18+00:00,TraderBroo,"✅✅✅🔵🔵🔵🍀🔵🔵🔵✅✅✅
Sayfamızın Takip Ettiği Kağıtlardan 
Bu Hafta (16) TAHTA’da TAVAN Gördük 
#ANGEN
#TMSN
#ECILC
#ASUZU
#BIZIM
#KONKA
#USAK
#GESAN
#HEKTS
#YUNSA
#ALKA
#ULUUN
#ORCAY
#ENSRI
#ALGYO
#PRKME

RT ve Beğenilerinizi Bekliyorum👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",28,289,65617,False,"['ANGEN', 'TMSN', 'ECILC', 'ASUZU', 'BIZIM', 'KONKA', 'USAK', 'GESAN', 'HEKTS', 'YUNSA', 'ALKA', 'ULUUN', 'ORCAY', 'ENSRI', 'ALGYO', 'PRKME']",
2022-07-22 19:05:02+00:00,borsamajestesi,"#ULUUN  ❤️%20 ❤️DEN FAZLA 
#SASA #GWİND #OZKGY ❤️%10 A❤️ YAKIN VE TELEGRAM GRUBUNDA PAYLAŞTIĞIMIZ GÜNLÜK FIRSATLAR--&gt; #TKFEN #TATGD #HEKTS  HEPSİ ❤️%5 ❤️DEN FAZLA KAR YAZDI. 👑👑

BU HAFTA DA BÖYLE BİR LİSTE GELSİN Mİ TWİTTER İÇİN ? BEĞENİLER BAKALIM NE DİYECEK 😉😉",3,41,6587,False,"['ULUUN', 'SASA', 'GWİND', 'OZKGY', 'TKFEN', 'TATGD', 'HEKTS']",
2022-07-22 18:52:19+00:00,ekmek_sarap_sen,"Güncel Portföyüm
                    Ağırlık    Maliyet   Hedef
🛰️#ASELS - %75 ▶️13 ₺ ↗️  6💲  
🌡️#SAHOL- %10 ▶️19 ₺  ↗️ 40 ₺ 
🍎#HEKTS - % 7 ▶️ 15 ₺ ↗️  3💲
🍚#YYLGD - % 8 ▶️14 ₺  ↗️  40 ₺

%100 #bist deyim.
Kendime not. YTD",1,4,6,False,"['ASELS', 'SAHOL', 'HEKTS', 'YYLGD', 'bist']",
2022-07-22 18:26:01+00:00,TemettuHajim,"Halka arz #koroplast için 1069 lot emir verildi. #krplast
#ytd #temettu #hisse #aksa #ARCLK #eregl #FROTO #HEKTS #sasa #vesbe  #toaso #hedef2040 #emeklilik",0,3,650,False,"['koroplast', 'krplast', 'ytd', 'temettu', 'hisse', 'aksa', 'ARCLK', 'eregl', 'FROTO', 'HEKTS', 'sasa', 'vesbe', 'toaso', 'hedef2040', 'emeklilik']",
2022-07-22 18:18:28+00:00,vural_kirez,#HEKTS haftaya 1.65 dolardan başlayıp çarşamba gününü 1.90 dolardan kapatarak ATH seviyesine yaklaştı sonrasında 2 gün düşüş ile bugün 1.82 dolardan haftayı kapattı.,1,5,1058,False,['HEKTS'],
2022-07-22 18:15:04+00:00,vural_kirez,"Bu hafta 

#sasa 2.27 dolardan 2.32 dolara yükseldi #sasapolyester

#EREGL 1.48 dolardan 1.58 dolara yükseldi #eregli 

#HEKTS 1.65 dolardan 1.82 dolara çıktı #hektaş 

#vesbe 0.48 dolardan 0.49 dolara yükseldi 

#sise 1.16 dolardan 1.18 dolara yükseldi #sisecam",0,6,1058,False,"['sasa', 'sasapolyester', 'EREGL', 'eregli', 'HEKTS', 'hektaş', 'vesbe', 'sise', 'sisecam']",
2022-07-22 18:00:41+00:00,TraderEniste,"Bu hafta paylaştığım 10 hissenin haftalık getirisi 
#TKFEN %16
#BRSAN %12
#CEMTS  %19
#ALARK %12
#ERBOS %4
#HEKTS %13
#TMSN %11
#KLKIM  %14
#MAVI %2
#KMPUR %-4
Hiç bir başarı tesadüf değildir
Önümüzdeki hafta yenisine bakarım 
Kesinlikle yatırım tavsiyesi değildir",0,10,492,False,"['TKFEN', 'BRSAN', 'CEMTS', 'ALARK', 'ERBOS', 'HEKTS', 'TMSN', 'KLKIM', 'MAVI', 'KMPUR']",
2022-07-22 17:33:58+00:00,besnili02300,"#sasa #hekts 
Bir tarlam vardı İŞİN EHLİ çiftçiye uzun yıllara icara verdim yüzdelik olarak kâr'ada zararada ortak olacağım.Üretilen ürünü biçene kadar dolu,fırtına,sel vurabilir zorlu şartlar olabilir bunlar olacak diye ne ürün ekmekten vaz geçerim nede zarar etmekten korkarım.",1,6,61,False,"['sasa', 'hekts']",
2022-07-22 17:09:49+00:00,RocketBoomGo,"BORSADA İŞLEM KURALI..🧿
**Riskinizi önceden sınırlayın.
**Spekülasyona açık işlemlerden uzak durun.
**Başarılı alım/satım kararları için startejiniz olsun.
#BIST100Sirketler #sasa #hekts #temettu #Robot",1,6,3212,False,"['BIST100Sirketler', 'sasa', 'hekts', 'temettu', 'Robot']",
2022-07-22 16:13:12+00:00,ensibrahimoglu,"PAZAR GÜNÜ PAYLAŞILAN GRAFİKLER CİDDİ PRİMLER YAPTI.

ÖZELLİKLE #OTKAR #BIMAS #ALGYO #TAVHL  #TIRE #TRCAS #CELHA #GLBMD #MNDRS #OSTIM #POLTK #ULUSE #ULUUN #ALARK #GOLTS #HEKTS #ALKA #ODAS 

HEPSİNİN TEK TEK GÜNCEL HALİNİ YENİDEN DEĞERLENDİRECEĞİM BU AKŞAM .",1,18,2422,False,"['OTKAR', 'BIMAS', 'ALGYO', 'TAVHL', 'TIRE', 'TRCAS', 'CELHA', 'GLBMD', 'MNDRS', 'OSTIM', 'POLTK', 'ULUSE', 'ULUUN', 'ALARK', 'GOLTS', 'HEKTS', 'ALKA', 'ODAS']",
