date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-07-23 18:13:12+00:00,vecnaelliott,"İncelememi istediğiniz coinleri, hisseleri vs yazın, bu hafta hepsini analizleyip paylaşacağım :)

En azından önümüzdeki süreci birlikte görelim.

#XU100 #SPX #BTCUDT #THYAO #EREGL #SASA #KOZAA #bist100 #BORSA #kripto",2,4,178,False,"['XU100', 'SPX', 'BTCUDT', 'THYAO', 'EREGL', 'SASA', 'KOZAA', 'bist100', 'BORSA', 'kripto']",
2022-07-23 15:36:27+00:00,Borsagrafik80,"HAFTALIK TAKİP LİSTEM 📈🎯🏹🚀

#algyo
#dybyo
#gozde
#bakab
#papıl
#krtek
#kozaa 
#golts
#petun 

BEGENİ VE RT BEKLİYORUM...

grafiklerini paylaştım 
al sat tut tavsiyesi degildir degerlendirmek isteyen kendi analizini yapsın.zarar edebilir.",5,58,4997,False,"['algyo', 'dybyo', 'gozde', 'bakab', 'papıl', 'krtek', 'kozaa', 'golts', 'petun']",
2022-07-22 15:18:10+00:00,bigborsa,"Super bir hafta oldu. Tatilden once %150 maldaydim. Hisse, viop, BES hisse fonlar, kredili islemler. 

Herkesi onceden uyardik. 

#mgros #viop #GARAN #THYAO #AKBNK #KCHOL #SISE #SAHOL #BIMAS #YKBNK #ISCTR #EKGYO #KOZAL #EREGL #TUPRS #ASELS #FROTO #KOZAA #SASA #HEKTS #usd #dolar",0,8,11448,False,"['mgros', 'viop', 'GARAN', 'THYAO', 'AKBNK', 'KCHOL', 'SISE', 'SAHOL', 'BIMAS', 'YKBNK', 'ISCTR', 'EKGYO', 'KOZAL', 'EREGL', 'TUPRS', 'ASELS', 'FROTO', 'KOZAA', 'SASA', 'HEKTS', 'usd', 'dolar']",
2022-07-22 14:00:51+00:00,bigborsa,"Bunlar

#mgros #viop #GARAN #THYAO #AKBNK #KCHOL #SISE #SAHOL #BIMAS #YKBNK #ISCTR #EKGYO #KOZAL #EREGL #TUPRS #ASELS #FROTO #KOZAA #SASA #HEKTS #KRDMD #SKBNK #TCELL #KARSN #TTKOM #VAKBN #TAVHL #GLYHO #ISGYO #DOHOL #AKSA #PGSUS #KONKA #ARCLK #ALARK #usd #zoren #bagfs #dolar #eur",1,8,11448,False,"['mgros', 'viop', 'GARAN', 'THYAO', 'AKBNK', 'KCHOL', 'SISE', 'SAHOL', 'BIMAS', 'YKBNK', 'ISCTR', 'EKGYO', 'KOZAL', 'EREGL', 'TUPRS', 'ASELS', 'FROTO', 'KOZAA', 'SASA', 'HEKTS', 'KRDMD', 'SKBNK', 'TCELL', 'KARSN', 'TTKOM', 'VAKBN', 'TAVHL', 'GLYHO', 'ISGYO', 'DOHOL', 'AKSA', 'PGSUS', 'KONKA', 'ARCLK', 'ALARK', 'usd', 'zoren', 'bagfs', 'dolar', 'eur']",
2022-07-22 13:34:25+00:00,giraygokirmak,16:32:16 saatli taramada #KOZAA için saatlik periyotta Yükselen Genişleyen Takoz Formasyonu (Düşüş) oluştu. Oluşan formasyona ait onay seviyesi beklenmelidir.,0,1,345,False,['KOZAA'],
2022-07-22 13:14:38+00:00,kemaltr13,Seçimler sonrası muhalefet alırsa bence açık ara alıcak bu şirketlerde yerywrinden oynucak yazın usulsuzlukler yolsuzluklar yonetimdekileri görücem ben kacacak yer arıcaklar #halkb #hlgyo #vakbn #vkgyo #asels #kozaa #kozal #ekgyo #thyao #tcell daha bi kaçtane daha var bekleyin,0,7,200,False,"['halkb', 'hlgyo', 'vakbn', 'vkgyo', 'asels', 'kozaa', 'kozal', 'ekgyo', 'thyao', 'tcell']",
2022-07-22 10:46:15+00:00,Wanted92107562,"#BRLSM 🤫
TOBO mu?
Fincanın kulbu mu ?
Flama mı?
İkili dip mi?

#trilc #halkb #thyao #mtrks #eregli #ecilc #kozaa #kozal #asels #kchol #toasa #sasa #sise #asgariuecret #memur #deva #rtalb #genil",0,1,2755,False,"['BRLSM', 'trilc', 'halkb', 'thyao', 'mtrks', 'eregli', 'ecilc', 'kozaa', 'kozal', 'asels', 'kchol', 'toasa', 'sasa', 'sise', 'asgariuecret', 'memur', 'deva', 'rtalb', 'genil']",
2022-07-22 08:47:18+00:00,skcebeci,"#YKBNK #YKBNK #kozaa #kozal #ipeke #garan #ykbnk #akbnk #isctr
bist islem hacmi 9 milyar.. Alim satim farki 1.442.753.000(+) ogleden sonra cok farkli bir piyasa olabilir.",0,2,156,False,"['YKBNK', 'YKBNK', 'kozaa', 'kozal', 'ipeke', 'garan', 'ykbnk', 'akbnk', 'isctr']",
2022-07-22 08:26:27+00:00,atalayferhatkah,"AZ KAZANIRIZ ÖZ KAZANIRIZ, 
KIYI KIYI GİDER HEP KAZANIRIZ.
TAVAN TAVAN GİDEN, 
TABAN TABAN DÖNER.
Bİ BAKMIŞSIN KIYI KIYI GİDEN TAVAN PEŞİNDE KOŞANDAN DAHA FAZLA KAZANMIŞ.

bu hep böyle olmuştur değişmez.

Devamke...

#dohol 
#kozaa 
#toaso 
#tkfen",2,23,14552,False,"['dohol', 'kozaa', 'toaso', 'tkfen']",
2022-07-22 08:05:02+00:00,Moscow171717,#KOZAA 26.66 söylediğim yerden 100 kademe yukarı da koskoca Koza da döndü dediğimiz yerden …,1,27,1999,False,['KOZAA'],
2022-07-22 07:13:26+00:00,BorsaKahini_,#kozaa #kozal #ipeke kısa da hareketlilik gözleniyor. :)),4,191,29063,False,"['kozaa', 'kozal', 'ipeke']",
