date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-07-23 18:33:44+00:00,vanalper1907,Seneye bu zamanlar 45-50 arasında sıraya girersiniz almak icın  2 fk satılıyor 😀 evlerin 30 fk olduğu yerde 2fk ya #sahol,0,1,61,False,['sahol'],
2022-07-23 14:29:13+00:00,finansalyazar,"Bankalar bu çeyrek tarihin en iyi karlarını açıklayacaklar.
⬇️
#Akbnk , #ykbnk  ve en iyisi #isctr
⬇️
#sahol  #kchol
⬇️
Hacı :)",6,171,31194,False,"['Akbnk', 'ykbnk', 'isctr', 'sahol', 'kchol']",
2022-07-23 10:04:30+00:00,Borsabedelsiz,"Kısada
#gsdho 4-5
#algyo 35-60
#ekgyo 3.10-4.50
#tkfen 25-40
#sokm 13-20
#golts 55-80
#brsan 40-60
#tursg 5-7
#gozde 8.60-16
#vakbn 3.9-6.50
#sahol 19.7-40
#asels 22.3-30
#tcell 17.9-28
Tavsiye değildir.
Beğeni yok inşallah faydamız oluyordur.",0,29,1627,False,"['gsdho', 'algyo', 'ekgyo', 'tkfen', 'sokm', 'golts', 'brsan', 'tursg', 'gozde', 'vakbn', 'sahol', 'asels', 'tcell']",
2022-07-23 09:42:06+00:00,ASIM_YALCINKAYA,"en UCUZ #BIST 100 #hisse'leri
#SAHOL 19,73&gt;44,3
#INDES 8,24&gt;16,6
#GOZDE 8,65&gt;17,1
#VESTL 24,42&gt;46,9
#KRDMD 10,7&gt;20,2
#BUCIM 2,61&gt;4,78
#EREGL 28,14&gt;50,5
#PETKM 8,81&gt;15
#ASELS 22,36&gt;35,7
#ALGYO 35,94&gt;57,1
#TRGYO 7,85&gt;12,3
#ISMEN 19,85&gt;30,7
FKO DD FAVÖK son verilerle
Kendime Not YTD",32,283,138931,False,"['BIST', 'hisse', 'SAHOL', 'INDES', 'GOZDE', 'VESTL', 'KRDMD', 'BUCIM', 'EREGL', 'PETKM', 'ASELS', 'ALGYO', 'TRGYO', 'ISMEN']",
2022-07-23 08:19:12+00:00,vbeyri83,Bilanço dönemi yaklaşıyor. Bilançosu kuvvetli gelebilecek şirketler : #sasa #kords #froto #asuzu #tuprs #egeen #sahol #eregl #sıse #alark #aksen,5,10,12,False,"['sasa', 'kords', 'froto', 'asuzu', 'tuprs', 'egeen', 'sahol', 'eregl', 'sıse', 'alark', 'aksen']",
2022-07-23 07:34:00+00:00,hissediyoruz,"Cuma günkü kapanışla birlikte günlükte mum formasyonu oluşan 11 HİSSE birazdan sizlerle olacak!

Kimler burada?:)

#borsa #garan #ykbnk #odas #krdmd #karsn #petkm #ihlas #eregl #asels #halkb #thyao #sise #izmdc #isctr #ekgyo #vakbn #yesil #dohol #cemas #sahol #tcell #ttkom #tknsa",1,46,10783,False,"['borsa', 'garan', 'ykbnk', 'odas', 'krdmd', 'karsn', 'petkm', 'ihlas', 'eregl', 'asels', 'halkb', 'thyao', 'sise', 'izmdc', 'isctr', 'ekgyo', 'vakbn', 'yesil', 'dohol', 'cemas', 'sahol', 'tcell', 'ttkom', 'tknsa']",
2022-07-23 07:31:51+00:00,MRKEYNES2,"#SAHOL : BENİM İNCELEMEM... BÜYÜKLERDEN GÜZEL DURANLARDAN. ÖNÜNDE 20,24 - 20,76 - 21,48 - VE İLK HEDEF 22,42. ALTTA 19,28 ALTI KAPANIŞ KISACILARA, 18,98 ALTI KAPANIŞ SABIRLILARA TAKİP DIŞI. *BUNLAR BILGI AMAÇLIDIR. ASLA ALIM, SATIM TAVSIYESI DEGILDIR.*",0,19,1992,False,['SAHOL'],
2022-07-23 06:40:15+00:00,Sedatsdtt,"Hafta sonu paylaştığımız hisselerin bu haftaki performansı;

#yylgd %16      
#ENSRI %13
#petkım %12   
#sahol %10 
#LKMNH %13 
#TTKOM %7.5
#ISMEN %9.5
#ICBCT %16
#TRILC %12,5

#kmpur stop oldu 
#gsray %-3",4,33,2918,False,"['yylgd', 'ENSRI', 'petkım', 'sahol', 'LKMNH', 'TTKOM', 'ISMEN', 'ICBCT', 'TRILC', 'kmpur', 'gsray']",
2022-07-22 23:16:55+00:00,ruhhastasi2020,"Haftaya bilançolar gelmeye başlıyor. Bugün saçma sapan #sasa #thyao #sise #kchol satanlar bilanço sonrası almak için birbirini ezecek 😃😃

#sahol #algyo  f/k oranları sıfırlanacak galiba 😆😆",0,8,196,False,"['sasa', 'thyao', 'sise', 'kchol', 'sahol', 'algyo']",
2022-07-22 23:06:22+00:00,SystemTrade3,"Bizler SystemTrade ekibi olarak kendi yazdığımız taramalarımız ile borsanıza renk katmayı (bolca yeşillik inşallah) planlıyoruz ✅💵💰

Takip edip, bildirimleri açanlar kazanacak ⏳⏰

#thyao #sise #ekgyo #eregl #sahol #odas #kchol #uluun #tuprs #asels #sasa #tkfen #alark #akbnk",7,14,41,False,"['thyao', 'sise', 'ekgyo', 'eregl', 'sahol', 'odas', 'kchol', 'uluun', 'tuprs', 'asels', 'sasa', 'tkfen', 'alark', 'akbnk']",
2022-07-22 22:44:18+00:00,Gocebe_JrAka,"iyi geceler borsa severler..haftaya pazartesi hangi hisseyi alayım ? yoruma 3 tane hisse yazıp,tahmine göre hafta için min %20  kar edecek..3 te 3 yapacak var mı ?.. #bist #bist100 #XU100 #XU30 #borsa #sasa #rodrg #Sahol #kchol #xatum #bist30 #hisse #para",0,0,7,False,"['bist', 'bist100', 'XU100', 'XU30', 'borsa', 'sasa', 'rodrg', 'Sahol', 'kchol', 'xatum', 'bist30', 'hisse', 'para']",
