date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-07-23 22:29:11+00:00,bigborsa,"Recep gidiyor mu?

#mgros #viop #GARAN #THYAO #AKBNK #KCHOL #SISE #SAHOL #BIMAS #YKBNK #ISCTR #EKGYO #KOZAL #EREGL #TUPRS #ASELS #FROTO #KOZAA #SASA #HEKTS #KRDMD #SKBNK #TCELL #KARSN #TTKOM #VAKBN #TAVHL #GLYHO #DOHOL #AKSA #PGSUS #KONKA #ARCLK #ALARK #usd #bagfs #dolar #eur",0,0,11448,False,"['mgros', 'viop', 'GARAN', 'THYAO', 'AKBNK', 'KCHOL', 'SISE', 'SAHOL', 'BIMAS', 'YKBNK', 'ISCTR', 'EKGYO', 'KOZAL', 'EREGL', 'TUPRS', 'ASELS', 'FROTO', 'KOZAA', 'SASA', 'HEKTS', 'KRDMD', 'SKBNK', 'TCELL', 'KARSN', 'TTKOM', 'VAKBN', 'TAVHL', 'GLYHO', 'DOHOL', 'AKSA', 'PGSUS', 'KONKA', 'ARCLK', 'ALARK', 'usd', 'bagfs', 'dolar', 'eur']",
2022-07-23 21:06:27+00:00,bigborsa,"Bu hafta viopta hangi ikili olabilir?

(Yuksek enflasyon donemlerinde borsada vadelide kisa cok risklidir, ben bu donemde hic kisa pozisyon tutmuyorum)

#VIOP #AKSA #AKSEN #ALKIM #ARCLK #BERA #BIMAS #BRSAN #BRISA #POLHO #SASA #SELEC #SISE #TKNSA #TCELL #TTKOM #ULKER #YATAS #DOLAR",1,4,11448,False,"['VIOP', 'AKSA', 'AKSEN', 'ALKIM', 'ARCLK', 'BERA', 'BIMAS', 'BRSAN', 'BRISA', 'POLHO', 'SASA', 'SELEC', 'SISE', 'TKNSA', 'TCELL', 'TTKOM', 'ULKER', 'YATAS', 'DOLAR']",
2022-07-23 20:20:48+00:00,FinansDunyamm,"Piyasa Değeri En Yüksek #BIST30 Şirketleri

• #EREGL 97.790.000.000 TL
• #SASA 95.289.000.000 TL
• #FROTO 91.166.000.000 TL
• #KCHOL 89.162.000.000 TL",0,1,32,False,"['BIST30', 'EREGL', 'SASA', 'FROTO', 'KCHOL']",
2022-07-23 20:03:26+00:00,o1borsafatihi,"takip listemizdeki #sasa 
bu hafta içi % 8,20 kar oranını bulsa da son gün kapanıştaki şelale ile %0,30 kar verdi.
geçmişe özetle. #sasa yükseldikçe bölündü
bölündükçe yükseldi. 
dipnot:
2012 yıllarında tic. ilişki ile tanıdığım erdemoğlu da 
gün yüzüne çıkmamış ne hamleler var.",0,7,437,False,"['sasa', 'sasa']",
2022-07-23 18:40:09+00:00,arztkk28,#sasa yıl sonu hedef fiyat sizce kaç olur?,0,0,135,False,['sasa'],
2022-07-23 18:22:07+00:00,ereni__,Geçen günlerde eğitim aldıgım bir profesor sasa firmasında da süreç geliştirme ve iyileştirme eğitimi verdiğini   ve orada bu işi profesyonelce yaptıklarından bahsetti. Bu bile #sasa almak icin bir sebep benim için.,0,0,15,False,['sasa'],
2022-07-23 18:16:35+00:00,bogachanbilge,"#sasa #bist 2021 Mayıs sonrası 6 ay yataya sardı, sonra katladı. O son düşüş ve yataydı. Bundan sonra 1-2 ay yatay olmaz. Neden mi? Biten yada başlayan yatırımlar, ciro ve kar haberleri de bitmez. 2. Çeyrek 10 milyar ciro yaklaşık 3 milyar kar açıklar seyret Emmoğlu. Ytd. CCC",16,229,20104,False,"['sasa', 'bist']",
2022-07-23 18:13:12+00:00,vecnaelliott,"İncelememi istediğiniz coinleri, hisseleri vs yazın, bu hafta hepsini analizleyip paylaşacağım :)

En azından önümüzdeki süreci birlikte görelim.

#XU100 #SPX #BTCUDT #THYAO #EREGL #SASA #KOZAA #bist100 #BORSA #kripto",2,4,178,False,"['XU100', 'SPX', 'BTCUDT', 'THYAO', 'EREGL', 'SASA', 'KOZAA', 'bist100', 'BORSA', 'kripto']",
2022-07-23 17:41:31+00:00,KRAL_3346,Ani düşüşüne ve müdahale edilmemesine doğal olarak tepki göstersem de toplamaya devam. Artık bilanço dönemi ile kap’lar birleşirse tavanlar bekliyoruz zahmet olmazsa.. #sasa,1,4,14,False,['sasa'],
2022-07-23 17:29:53+00:00,Ilyas_Karahanli,"#sasa #hekts #eregl 
Neden #tasarruf #birikim ve #yatırım yapiyorum : Orta yaşlar ve yaşlılık zamanım geldiğinde çalışmak ( #zorunda ) olmak istemediğim için yatırm yapmaya başladım. Bu ve benim diğer isteklerime de ulasmami  sağlayacak bir hedeftir. #aile me #kendime #sevdiğim",0,0,207,False,"['sasa', 'hekts', 'eregl', 'tasarruf', 'birikim', 'yatırım', 'zorunda', 'aile', 'kendime', 'sevdiğim']",
