date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-07-23 22:29:11+00:00,bigborsa,"Recep gidiyor mu?

#mgros #viop #GARAN #THYAO #AKBNK #KCHOL #SISE #SAHOL #BIMAS #YKBNK #ISCTR #EKGYO #KOZAL #EREGL #TUPRS #ASELS #FROTO #KOZAA #SASA #HEKTS #KRDMD #SKBNK #TCELL #KARSN #TTKOM #VAKBN #TAVHL #GLYHO #DOHOL #AKSA #PGSUS #KONKA #ARCLK #ALARK #usd #bagfs #dolar #eur",0,0,11448,False,"['mgros', 'viop', 'GARAN', 'THYAO', 'AKBNK', 'KCHOL', 'SISE', 'SAHOL', 'BIMAS', 'YKBNK', 'ISCTR', 'EKGYO', 'KOZAL', 'EREGL', 'TUPRS', 'ASELS', 'FROTO', 'KOZAA', 'SASA', 'HEKTS', 'KRDMD', 'SKBNK', 'TCELL', 'KARSN', 'TTKOM', 'VAKBN', 'TAVHL', 'GLYHO', 'DOHOL', 'AKSA', 'PGSUS', 'KONKA', 'ARCLK', 'ALARK', 'usd', 'bagfs', 'dolar', 'eur']",
2022-07-23 21:29:54+00:00,bigborsa,"Turizm hisselerine soyle bir baktim, pek aklim yatmadi.

Sizce hangi turizm hisseleri alinir?

#utpya #pkent #ayces #maalt #ayces #maalt #akfgy #metur #turex #beyaz #nthol #escar #gznmi #escar #lider #kstur #avtur #tektu #tyyao #tavhl #pgsus #doco #clebi #rysas #grsel #tlman",0,2,11448,False,"['utpya', 'pkent', 'ayces', 'maalt', 'ayces', 'maalt', 'akfgy', 'metur', 'turex', 'beyaz', 'nthol', 'escar', 'gznmi', 'escar', 'lider', 'kstur', 'avtur', 'tektu', 'tyyao', 'tavhl', 'pgsus', 'doco', 'clebi', 'rysas', 'grsel', 'tlman']",
2022-07-23 20:00:56+00:00,bigborsa,"Harcamalarda ulasim, yeme icme, konaklama ilk siralarda, bu alanlardaki harcamalar %100;den fazla artti.

Bilancolarda bu gorulecektir. 

Sermayesi kucuk iyi bir turizm hissesi bulsam, 10 yil trade ederim.

#aefes #ccola #tborg #etilr #marti #thyao #pgsus #tavhl #clebi #doco",0,5,11448,False,"['aefes', 'ccola', 'tborg', 'etilr', 'marti', 'thyao', 'pgsus', 'tavhl', 'clebi', 'doco']",
2022-07-23 18:13:29+00:00,TraderBroo,"Haftalık Liste Dışı Seans İçi Vurguladıklarımızdan
#ISFIN-#GARAN-#BAGFS-#YEOTK
#KLKIM-#TTKOM-#KRVGD-#TAVHL
#CIMSA-#KTSKR-#TUPRS-#ERCB
#SKBNK-#GEREL-#TKFEN-#ULUFA
#EGGUB-#AGHOL-#KLGYO-#DYOBY
Güzel Getiriler Sağladılar
RT ve Beğenilerinizi Bekliyorum👍👍
KesinlikleY.T.D.
🧿🍀🙏👍👋",16,172,65619,False,"['ISFIN', 'GARAN', 'BAGFS', 'YEOTK', 'KLKIM', 'TTKOM', 'KRVGD', 'TAVHL', 'CIMSA', 'KTSKR', 'TUPRS', 'ERCB', 'SKBNK', 'GEREL', 'TKFEN', 'ULUFA', 'EGGUB', 'AGHOL', 'KLGYO', 'DYOBY']",
2022-07-23 17:30:09+00:00,TheTraderT1,"#bist100 de kötü alışkanlıklar

1) Sisteminizi sık sık değiştirmek
2) Stop olamamak 
3) Çok hızlı kar elde etme isteği 
4) Hırs
5) Aşırı işlem
6) Tüyo 
7) Hisse seçimindeki yanlışlıklar 
8) Sabredememek

#thyao #doco #tavhl #pgsus #arclk #egeen #vestl #otkar #toaso #froto #eregl",0,54,30520,False,"['bist100', 'thyao', 'doco', 'tavhl', 'pgsus', 'arclk', 'egeen', 'vestl', 'otkar', 'toaso', 'froto', 'eregl']",
2022-07-23 16:03:00+00:00,hissediyoruz,"Borsada günlükte ve haftalıkta MACD pozitife dönen 13 HİSSE birazdan sizlerle olacak!

Kimler beklemede?:)

#borsa #bist100 #garan #petkm #asels #odas #krvgd #altın #dolar #tkuru #yesil #gubrf #tavhl #tkfen #arclk #kchol #thyao #mgros #rtalb #eregl #krdmd #hekts #sasa #btc #xrp",2,41,10784,False,"['borsa', 'bist100', 'garan', 'petkm', 'asels', 'odas', 'krvgd', 'altın', 'dolar', 'tkuru', 'yesil', 'gubrf', 'tavhl', 'tkfen', 'arclk', 'kchol', 'thyao', 'mgros', 'rtalb', 'eregl', 'krdmd', 'hekts', 'sasa', 'btc', 'xrp']",
2022-07-23 16:02:16+00:00,ZaferIn27193849,"bu hafta takib listem tek sebep bilanço bereketi fakirin umudu bitmez,#toaso,#tavhl,#garan,#akgrt,#goody,#ttkom,#brisa,#ccola,#enejsa,#kozal,#migros,#thyao ,10 ağostosa kadar,YTD",0,4,55,False,"['toaso', 'tavhl', 'garan', 'akgrt', 'goody', 'ttkom', 'brisa', 'ccola', 'enejsa', 'kozal', 'migros', 'thyao']",
2022-07-23 15:29:52+00:00,orali48,"#tavhl #thyao #pgsus

Cuma havacilardaki  düşüşü  ben;

 ABD havacılar da bilanço bıraz beklenti altı geldi,ABD havacılar Perşembe sert satış yedi ,ben buna bağlıyorum..",0,2,163,False,"['tavhl', 'thyao', 'pgsus']",
2022-07-23 12:05:00+00:00,hissediyoruz,"Cuma günkü kapanışla birlikte haftalık mum formasyonu oluşan 6 HİSSE ve BORSA YORUMU birazdan sizlerle olacak!

Kimler beklemede?:)

#borsa #garan #ykbnk #odas #krdmd #karsn #petkm #eregl #asels #thyao #sise #izmdc #isctr #ttkom #tknsa #sasa #usak #hekts #tavhl #tmsn #bera #desa",0,35,10784,False,"['borsa', 'garan', 'ykbnk', 'odas', 'krdmd', 'karsn', 'petkm', 'eregl', 'asels', 'thyao', 'sise', 'izmdc', 'isctr', 'ttkom', 'tknsa', 'sasa', 'usak', 'hekts', 'tavhl', 'tmsn', 'bera', 'desa']",
2022-07-23 08:40:10+00:00,ZaferIn27193849,"#tavhl, sıralı hedefler 58,61,YTD",0,2,55,False,['tavhl'],
