date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-07-23 22:52:36+00:00,Alper_Denizer,"*** ELEŞTİRİ  YAPMAK YASAK ***

-   GOLD_HİSSE 
-   İBRAHİM MERT ŞAHİN

tarafından engellendim..
çok çok hafif ve kibar bir eleştiri yapmıştım.
#bist100 #eregl #sasa #arclk #tuprs #thyao #dohol #alark #kchol #sahol #akbnk #garan",0,0,28,False,"['bist100', 'eregl', 'sasa', 'arclk', 'tuprs', 'thyao', 'dohol', 'alark', 'kchol', 'sahol', 'akbnk', 'garan']",
2022-07-23 22:29:11+00:00,bigborsa,"Recep gidiyor mu?

#mgros #viop #GARAN #THYAO #AKBNK #KCHOL #SISE #SAHOL #BIMAS #YKBNK #ISCTR #EKGYO #KOZAL #EREGL #TUPRS #ASELS #FROTO #KOZAA #SASA #HEKTS #KRDMD #SKBNK #TCELL #KARSN #TTKOM #VAKBN #TAVHL #GLYHO #DOHOL #AKSA #PGSUS #KONKA #ARCLK #ALARK #usd #bagfs #dolar #eur",0,0,11448,False,"['mgros', 'viop', 'GARAN', 'THYAO', 'AKBNK', 'KCHOL', 'SISE', 'SAHOL', 'BIMAS', 'YKBNK', 'ISCTR', 'EKGYO', 'KOZAL', 'EREGL', 'TUPRS', 'ASELS', 'FROTO', 'KOZAA', 'SASA', 'HEKTS', 'KRDMD', 'SKBNK', 'TCELL', 'KARSN', 'TTKOM', 'VAKBN', 'TAVHL', 'GLYHO', 'DOHOL', 'AKSA', 'PGSUS', 'KONKA', 'ARCLK', 'ALARK', 'usd', 'bagfs', 'dolar', 'eur']",
2022-07-23 20:31:56+00:00,o1borsafatihi,"#thyao bu hafta içi çarşamba günü % 6 marja ulaşmışken kredi notu düştü haberi ile aşağı yönlü hareket ile  % 2,66 kar ile kapattı.
#thyao ne kadar olumsuz haberler gelirse gelsin borsa istanbul hisselerinin yüksek hacimli listesinde ilk sırada.
bilanço bu hisseyi uçuracak",0,4,437,False,"['thyao', 'thyao']",
2022-07-23 20:00:56+00:00,bigborsa,"Harcamalarda ulasim, yeme icme, konaklama ilk siralarda, bu alanlardaki harcamalar %100;den fazla artti.

Bilancolarda bu gorulecektir. 

Sermayesi kucuk iyi bir turizm hissesi bulsam, 10 yil trade ederim.

#aefes #ccola #tborg #etilr #marti #thyao #pgsus #tavhl #clebi #doco",0,5,11448,False,"['aefes', 'ccola', 'tborg', 'etilr', 'marti', 'thyao', 'pgsus', 'tavhl', 'clebi', 'doco']",
2022-07-23 18:13:12+00:00,vecnaelliott,"İncelememi istediğiniz coinleri, hisseleri vs yazın, bu hafta hepsini analizleyip paylaşacağım :)

En azından önümüzdeki süreci birlikte görelim.

#XU100 #SPX #BTCUDT #THYAO #EREGL #SASA #KOZAA #bist100 #BORSA #kripto",2,4,178,False,"['XU100', 'SPX', 'BTCUDT', 'THYAO', 'EREGL', 'SASA', 'KOZAA', 'bist100', 'BORSA', 'kripto']",
2022-07-23 17:30:09+00:00,TheTraderT1,"#bist100 de kötü alışkanlıklar

1) Sisteminizi sık sık değiştirmek
2) Stop olamamak 
3) Çok hızlı kar elde etme isteği 
4) Hırs
5) Aşırı işlem
6) Tüyo 
7) Hisse seçimindeki yanlışlıklar 
8) Sabredememek

#thyao #doco #tavhl #pgsus #arclk #egeen #vestl #otkar #toaso #froto #eregl",0,54,30520,False,"['bist100', 'thyao', 'doco', 'tavhl', 'pgsus', 'arclk', 'egeen', 'vestl', 'otkar', 'toaso', 'froto', 'eregl']",
2022-07-23 17:21:20+00:00,baba_ve_kizi,"Ne zamandır anket yapmıyorduk arkadaşlar
Temettü emeklilisi olduğunuzda hedefiniz aylık kaç asgari ücret bugünün sartlariyla

#bist100 #BIST30 #EREGL #sasa #hekts #kontr #aksa #froto #tuprs #temettueemekliliği #hisse #THYAO #BIMAS #DolarTL #endeks #emeklilik #anket #BorsaIstanbul",1,0,449,False,"['bist100', 'BIST30', 'EREGL', 'sasa', 'hekts', 'kontr', 'aksa', 'froto', 'tuprs', 'temettueemekliliği', 'hisse', 'THYAO', 'BIMAS', 'DolarTL', 'endeks', 'emeklilik', 'anket', 'BorsaIstanbul']",
2022-07-23 16:43:34+00:00,FakirPatron1,"Dünya Sağlık Örgütü bugün Maymun Çiçeğini küresel salgın ilan etti. Cuma günü #thyao #pgsus satışı yapanlar bu durumu içerden bilgi sızdırılarak gerçekleştirmedi değil mi 😊 
Aklımda deli sorular 
Pazartesi aksiyon var 
#maymuncicegi 
#bist100",0,2,12,False,"['thyao', 'pgsus', 'maymuncicegi', 'bist100']",
2022-07-23 16:03:00+00:00,hissediyoruz,"Borsada günlükte ve haftalıkta MACD pozitife dönen 13 HİSSE birazdan sizlerle olacak!

Kimler beklemede?:)

#borsa #bist100 #garan #petkm #asels #odas #krvgd #altın #dolar #tkuru #yesil #gubrf #tavhl #tkfen #arclk #kchol #thyao #mgros #rtalb #eregl #krdmd #hekts #sasa #btc #xrp",2,41,10784,False,"['borsa', 'bist100', 'garan', 'petkm', 'asels', 'odas', 'krvgd', 'altın', 'dolar', 'tkuru', 'yesil', 'gubrf', 'tavhl', 'tkfen', 'arclk', 'kchol', 'thyao', 'mgros', 'rtalb', 'eregl', 'krdmd', 'hekts', 'sasa', 'btc', 'xrp']",
2022-07-23 16:02:16+00:00,ZaferIn27193849,"bu hafta takib listem tek sebep bilanço bereketi fakirin umudu bitmez,#toaso,#tavhl,#garan,#akgrt,#goody,#ttkom,#brisa,#ccola,#enejsa,#kozal,#migros,#thyao ,10 ağostosa kadar,YTD",0,4,55,False,"['toaso', 'tavhl', 'garan', 'akgrt', 'goody', 'ttkom', 'brisa', 'ccola', 'enejsa', 'kozal', 'migros', 'thyao']",
2022-07-23 15:53:58+00:00,Asilturk5002867,"Yapay zeka temelli ""Karınca İndikatörü"" yarın akşam #thyao analiz sonucunu açıklıyor...

Takip edin ----&gt; @bistesin bihaber kalmayın.

#monkeypox",0,1,358,False,"['thyao', 'monkeypox']",
2022-07-23 15:29:52+00:00,orali48,"#tavhl #thyao #pgsus

Cuma havacilardaki  düşüşü  ben;

 ABD havacılar da bilanço bıraz beklenti altı geldi,ABD havacılar Perşembe sert satış yedi ,ben buna bağlıyorum..",0,2,163,False,"['tavhl', 'thyao', 'pgsus']",
2022-07-23 13:53:33+00:00,temelci_trader,Hafta içi vur kaç yapalımmı? #bist100 #bist #garan #thyao #petkm #eregl #egpro #prkab #tskb #isyat #ozkgy #rysas #cment #cosmo #crdfa #crfsa #cusan #daghl,0,7,158,False,"['bist100', 'bist', 'garan', 'thyao', 'petkm', 'eregl', 'egpro', 'prkab', 'tskb', 'isyat', 'ozkgy', 'rysas', 'cment', 'cosmo', 'crdfa', 'crfsa', 'cusan', 'daghl']",
2022-07-23 13:48:33+00:00,gold_hisse,Arkadaşlar özelden soruyorsunuz ancak teknik eğitim kursu vermiyorum. Rahmetli Yaşar Erdinç Hocanın kitaplarını okuyun videolarını izleyin.Birkaç saatte zaten öğrenilmez gidip ücretli kurslara katılmayın. #ASELS #THYAO #SASA #ULUUN #GESAN #VAKBN #GESAN #SMRTG #ASUZU #USDTRY #btc,8,50,9563,False,"['ASELS', 'THYAO', 'SASA', 'ULUUN', 'GESAN', 'VAKBN', 'GESAN', 'SMRTG', 'ASUZU', 'USDTRY', 'btc']",
2022-07-23 13:16:59+00:00,haber_bist,"#THYAO

Ak: 7 milyar 467 milyon
Deniz: 6 milyar 801 milyon
İş: 6 milyar 474 milyon
Garanti: 7 milyar 535 milyon
YFAS: 6 milyar 534 milyon
TEB: 6 milyar 642 milyon
ÜNLÜ: 6 milyar 993 milyon
HSBC: 6 milyar 917 milyon
Vakıf: 5 milyar 224 milyon
Ziraat: 6 milyar 455 milyon",0,0,2,False,['THYAO'],
2022-07-23 12:42:00+00:00,Asilturk5002867,#eregl nin düşeceğini bilen yapay zeka @bistesin yarın akşam #thyao yorumluyor. Kaçırmayın...,0,0,358,False,"['eregl', 'thyao']",
2022-07-23 12:41:31+00:00,Asilturk5002867,"#SONDAKİKA

Üstadlar uçacak, kaçacak derken #eregl nin düşeceği yönünde sinyal üreten yerli ve milli yapay zeka @bistesin yarın akşam #thyao analizi yapacak. Kaçırmayın derim. 

#bera #mrgyo #selec",0,0,358,False,"['SONDAKİKA', 'eregl', 'thyao', 'bera', 'mrgyo', 'selec']",
2022-07-23 12:05:00+00:00,hissediyoruz,"Cuma günkü kapanışla birlikte haftalık mum formasyonu oluşan 6 HİSSE ve BORSA YORUMU birazdan sizlerle olacak!

Kimler beklemede?:)

#borsa #garan #ykbnk #odas #krdmd #karsn #petkm #eregl #asels #thyao #sise #izmdc #isctr #ttkom #tknsa #sasa #usak #hekts #tavhl #tmsn #bera #desa",0,35,10784,False,"['borsa', 'garan', 'ykbnk', 'odas', 'krdmd', 'karsn', 'petkm', 'eregl', 'asels', 'thyao', 'sise', 'izmdc', 'isctr', 'ttkom', 'tknsa', 'sasa', 'usak', 'hekts', 'tavhl', 'tmsn', 'bera', 'desa']",
2022-07-23 11:07:02+00:00,HalkaArzBorsa,"#obase Obase Bilgisayar

Halka arzına 1000 TL ile katılım sağlayacağım.

👍 1 saniyenizi ayırıp sayfayı takip edelim @halkaarzborsa 👏👏

👍Gönderiye RT ve BEĞENİ atalım.

#fener #eregl #borsa #thyao #petkm #akbnk #tupras #sasa #sise #asels #dolar #garan #makim #rubns #krpls",3,19,948,False,"['obase', 'fener', 'eregl', 'borsa', 'thyao', 'petkm', 'akbnk', 'tupras', 'sasa', 'sise', 'asels', 'dolar', 'garan', 'makim', 'rubns', 'krpls']",
