date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-07-23 20:27:35+00:00,MoneeeyMan,"#TOASO #OTKAR #FROTO #ASUZU #KARSN  Değerli takipçilerim sektörün genel bilgilerini paylaştım, nasıl yorumluyorsunuz , yorumlamaktan çekinmeyin. Burada bir nebze finansal okuryazarlık ondan öte mantık var herkes yorumlayabilir. Burada bir hisse alacak olsanız hangisi olurdu?",0,1,108,False,"['TOASO', 'OTKAR', 'FROTO', 'ASUZU', 'KARSN']",
2022-07-23 18:45:41+00:00,TemettuUv,"Temettü verimi en yüksek hisseler serisi :1)#eregli🎯,2)#ısdmr✍,3)#toaso🎯,4)#egser✍,5)#doas🎯,6)#ttrak✍7)#enjsa🎯.",9,79,4942,False,"['eregli', 'ısdmr', 'toaso', 'egser', 'doas', 'ttrak', 'enjsa']",
2022-07-23 17:30:09+00:00,TheTraderT1,"#bist100 de kötü alışkanlıklar

1) Sisteminizi sık sık değiştirmek
2) Stop olamamak 
3) Çok hızlı kar elde etme isteği 
4) Hırs
5) Aşırı işlem
6) Tüyo 
7) Hisse seçimindeki yanlışlıklar 
8) Sabredememek

#thyao #doco #tavhl #pgsus #arclk #egeen #vestl #otkar #toaso #froto #eregl",0,54,30520,False,"['bist100', 'thyao', 'doco', 'tavhl', 'pgsus', 'arclk', 'egeen', 'vestl', 'otkar', 'toaso', 'froto', 'eregl']",
2022-07-23 16:02:16+00:00,ZaferIn27193849,"bu hafta takib listem tek sebep bilanço bereketi fakirin umudu bitmez,#toaso,#tavhl,#garan,#akgrt,#goody,#ttkom,#brisa,#ccola,#enejsa,#kozal,#migros,#thyao ,10 ağostosa kadar,YTD",0,4,55,False,"['toaso', 'tavhl', 'garan', 'akgrt', 'goody', 'ttkom', 'brisa', 'ccola', 'enejsa', 'kozal', 'migros', 'thyao']",
2022-07-23 14:10:05+00:00,GercekDesifre,"Sektörüne Göre Temettü Ödeyen Hisseler + Altın ve Gümüş..
• Otomotiv  #OTKAR #TOASO #TTRAK
• Beyaz Eşya  #ARCLK #VESBE
• Gıda #BIMAS  #PETUN
• Enerji  #ENJSA  #AKSEN
• Demir Çelik  #EREGL #ISDMR #KRDMD
• Değerli Madem #GLDTR #GMSTR",2,7,435,False,"['OTKAR', 'TOASO', 'TTRAK', 'ARCLK', 'VESBE', 'BIMAS', 'PETUN', 'ENJSA', 'AKSEN', 'EREGL', 'ISDMR', 'KRDMD', 'GLDTR', 'GMSTR']",
2022-07-23 13:16:30+00:00,AtifSohoglu,"Bilanço haftası;

Tahminlerim, 

#TOASO  -&gt; 1,8 Milyar/26.07
#FROTO -&gt; 3,5 Milyar/28.07
#EREGL -&gt; 8 Milyar/11.08
#AKSA -&gt; 1 Milyar/11.08
#KRVGD -&gt; 150 Milyon/19.08

Sonrasında yaklaşma yüzdeliklerine bakması kolay olur.",0,1,10,False,"['TOASO', 'FROTO', 'EREGL', 'AKSA', 'KRVGD']",
2022-07-23 12:24:58+00:00,haber_bist,"Borsa İstanbul'da 2. çeyrek bilanço dönemi, 26 Temmuz’da #ARCLK, #TOASO ve #YKBNK’nin seans kapanışının ardından finansallarını açıklamasıyla başlayacak.",0,0,2,False,"['ARCLK', 'TOASO', 'YKBNK']",
2022-07-23 11:10:41+00:00,modimadi06,"Türkiye, yılın ilk yarısında 4 milyar 590 milyon 207 bin dolarlık binek otomobil ihraç etti. Ocak-haziran döneminde binek otomobil ihracatının 3’te 1’i Fransa, Birleşik Krallık ve İspanya’ya gerçekleştirildi.  #froto #doas #toaso #asuzu",2,4,359,False,"['froto', 'doas', 'toaso', 'asuzu']",
2022-07-23 08:35:35+00:00,ZaferIn27193849,"#toaso, sıralı hedefler,68,74,87,YTD",0,4,55,False,['toaso'],
2022-07-22 22:29:22+00:00,giraygokirmak,01:21:43 saatli taramada #TOASO orta vadeli trendi nötr oldu.,0,0,345,False,['TOASO'],
2022-07-22 18:26:01+00:00,TemettuHajim,"Halka arz #koroplast için 1069 lot emir verildi. #krplast
#ytd #temettu #hisse #aksa #ARCLK #eregl #FROTO #HEKTS #sasa #vesbe  #toaso #hedef2040 #emeklilik",0,3,649,False,"['koroplast', 'krplast', 'ytd', 'temettu', 'hisse', 'aksa', 'ARCLK', 'eregl', 'FROTO', 'HEKTS', 'sasa', 'vesbe', 'toaso', 'hedef2040', 'emeklilik']",
2022-07-22 17:52:07+00:00,ZaferIn27193849,"Raporlara göre bilançoları yüksek gelecek hisseler,#tavhl,#toaso,#tupras,#ulker :(bu hisse adam değil),#thyao,#isdmr,#eregl,#ekgyo,#arclk,#bimas,",0,5,55,False,"['tavhl', 'toaso', 'tupras', 'ulker', 'thyao', 'isdmr', 'eregl', 'ekgyo', 'arclk', 'bimas']",
2022-07-22 16:27:11+00:00,FESATADAM3,#toaso ELE vere vere gidiyor,0,0,15,False,['toaso'],
2022-07-22 15:48:01+00:00,uzunvade2020,"Bu ay maaşlar bayram öncesinde yattı ama alım yapmaya elim gitmedi(hata ettim) Alımlar bugüne kısmet oldu. Toplamda 8500 TL lik alım yaptım. #FMIZP #EREGL #ISDMR #TOASO #temettü #temettüemekliliği
Ayrıntıları haftasonu paylaşacağım.
Ayrıca Kredi çekip portföye ekleme niyetim var",0,0,86,False,"['FMIZP', 'EREGL', 'ISDMR', 'TOASO', 'temettü', 'temettüemekliliği']",
2022-07-22 15:24:57+00:00,MuratDmrcgl,"Nasılız ? 💪😘

#VAKBN 
#HALKB 
#AKFGY 
#İHEVA 
#HDFGS 

Yukarıdakilere ilave Stoplanmış ve yakında yukarı yönlü trend alabilecek hisselerden bazıları 
#TOASO 
#ULKER 
#TTKOM 
#MOBTL 
#KRDMD 
#FADE 
#ASELS 
#AFYON",0,6,2291,False,"['VAKBN', 'HALKB', 'AKFGY', 'İHEVA', 'HDFGS', 'TOASO', 'ULKER', 'TTKOM', 'MOBTL', 'KRDMD', 'FADE', 'ASELS', 'AFYON']",
2022-07-22 13:35:59+00:00,TeknikAvcisi,"#tuprs 248 255  sonrası 250 249 turlara devam
#eregl 2780 2816   28.02  28.40 turalara devam 
#froto 260 270   265 271 turlara devam 
#toaso 63 66 
#asels #arclk daha istediğimiz tam olması    ya nasip",2,30,2653,False,"['tuprs', 'eregl', 'froto', 'toaso', 'asels', 'arclk']",
2022-07-22 11:50:27+00:00,Hsynyksl6,"Güzel şeyler zaman alıyor madem Bende hâyallerime kavuşmak için zararda 2 yıl bekledim 4 - 5yıl daha beklerim o zaman no problem! Herşey %300 uçtuysa hisselerde mecbur gidecektir.🤔🤔
#Kartn #Egeen #Kozal #Esen #Egpro #Toaso #Jants #Akmgy #Kent #Trılc #Pkent #Tetmt #Klnma #Alkım",0,5,111,False,"['Kartn', 'Egeen', 'Kozal', 'Esen', 'Egpro', 'Toaso', 'Jants', 'Akmgy', 'Kent', 'Trılc', 'Pkent', 'Tetmt', 'Klnma', 'Alkım']",
2022-07-22 11:43:19+00:00,EyyubSerkan,#toaso #dohol çok güzel görünüyorsunuz.🤫Yatırım tavsiyesi değildir.Sevgi belirtisidir.,0,1,260,False,"['toaso', 'dohol']",
2022-07-22 10:47:32+00:00,FinansDunyamm,"Sektörüne Göre Temettü Ödeyen Hisseler

• Otomotiv —&gt; #FROTO , #TOASO , #TTRAK

• Beyaz Eşya —&gt; #ARCLK , #VESBE

• Gıda —&gt; #BIMAS , #PETUN

• Enerji —&gt; #ENJSA , #AKSEN , #YEOTK 

• Demir Çelik —&gt; #EREGL , #ISDMR , #KRDMD",0,6,32,False,"['FROTO', 'TOASO', 'TTRAK', 'ARCLK', 'VESBE', 'BIMAS', 'PETUN', 'ENJSA', 'AKSEN', 'YEOTK', 'EREGL', 'ISDMR', 'KRDMD']",
2022-07-22 10:37:23+00:00,FinansDunyamm,"En Çok Hangi Otomotiv Şirketine Yatırım Yapmayı Tercih Ederdin.
#TTRAK #FROTO #TOASO #OTKAR",0,1,32,False,"['TTRAK', 'FROTO', 'TOASO', 'OTKAR']",
2022-07-22 08:46:00+00:00,FinansDunyamm,"İhracatı Yüksek Temettü Hisseleri: 

• Ege Endüstri #EGEEN %95
• Fort Otosan #FROTO %79
• Vestel Beyaz Eşya #VESBE %70
• Arçelik #ARCLK %70
• Tofaş #TOASO %56

Yüksek Temettü Verimliliği, Yüksek Döviz Geliri 👍🏻",2,11,32,False,"['EGEEN', 'FROTO', 'VESBE', 'ARCLK', 'TOASO']",
2022-07-22 08:26:27+00:00,atalayferhatkah,"AZ KAZANIRIZ ÖZ KAZANIRIZ, 
KIYI KIYI GİDER HEP KAZANIRIZ.
TAVAN TAVAN GİDEN, 
TABAN TABAN DÖNER.
Bİ BAKMIŞSIN KIYI KIYI GİDEN TAVAN PEŞİNDE KOŞANDAN DAHA FAZLA KAZANMIŞ.

bu hep böyle olmuştur değişmez.

Devamke...

#dohol 
#kozaa 
#toaso 
#tkfen",2,23,14552,False,"['dohol', 'kozaa', 'toaso', 'tkfen']",
2022-07-22 08:21:04+00:00,omurcansari,"duyduğunuz tekil başarı hikayelerinden 'demek ki bu işler böyle oluyor' diyip genelleme yapmak yanlıştır.

tek bir örnekten genele giderseniz çok temel bir mantık hatası yapmış olursunuz.

#temettü #FROTO #EREGL #TOASO #SİSE #TTRAK #ARCLK #TUPRS #bist #borsa #yatırım",0,1,91,False,"['temettü', 'FROTO', 'EREGL', 'TOASO', 'SİSE', 'TTRAK', 'ARCLK', 'TUPRS', 'bist', 'borsa', 'yatırım']",
2022-07-22 08:09:39+00:00,ytuncel2041,Borsada kuvvetli bir hisse alimi yapsa yabancı firmalar çoğu holding firmaları alabilir değerleri DOLAR karşısında çok çok düşük düşünün #alikoc firmalari ozellikle #kchol dipte #froto #ttrak #toaso öyle yılların şirketleri hisseleri bir bakmışsınız yabancılara bedavaya gitmiş,0,1,4,False,"['alikoc', 'kchol', 'froto', 'ttrak', 'toaso']",
2022-07-22 07:38:49+00:00,karagolgelim,"Bu ay sonuna kadar bu iki kağıt çok hareketli olacaktır.
#EREGL #TOASO #BİST100",0,8,0,False,"['EREGL', 'TOASO', 'BİST100']",
2022-07-22 07:35:23+00:00,mehmetbaskan,"Ben borsa düşsün, devre kessin toplayalım istiyorum. Borsa ise yükseliyor. #isdmr #vesbe #toaso #borsaistanbul",0,4,1034,False,"['isdmr', 'vesbe', 'toaso', 'borsaistanbul']",
2022-07-22 07:09:00+00:00,TwetterFenomeni,"Herkese günaydın bol kazançlı bir gün olmasını diliyorum🙏🙏🙏
Açılışlar pozitif #sp500 sep22 kontrat 3986 usd
#XU100 % + 0.74
#xu030 % + 0.77
#EREGL % + 1.08
#BİMAS % + 0.53
#ECILC   % +0.49
#thyao    % +0.68
#toaso   % +1.57
#kchol    % +0.96
#karsn    % +1.38
#garan  %+ 0.40",3,18,4549,False,"['sp500', 'XU100', 'xu030', 'EREGL', 'BİMAS', 'ECILC', 'thyao', 'toaso', 'kchol', 'karsn', 'garan']",
2022-07-22 06:57:07+00:00,financialscrewd,"22 Temmuz 2022
Bayram harçlıklarıyla ufak ekleme yapayım dedim :) 
2 adet #Sasa
3 adet #Toaso
8 adet #Vesbe kumbaraya eklendi.",0,2,31,False,"['Sasa', 'Toaso', 'Vesbe']",
2022-07-22 06:41:32+00:00,borsanindunyasi,Bilanço dönemi yaklaşıyor #ykbnk #toaso #arclk 26 Temmuz ‘da finansalları açıklayacak,0,4,362,False,"['ykbnk', 'toaso', 'arclk']",
2022-07-22 06:34:00+00:00,HBFINANS_,"6 aylık bilanço tarihleri belli olan şirketler...

2022/06 dönemi finansal raporlar açıklama tarihleri:

#TOASO   26.07.2022

#ARCLK   26.07.2022

#TAVHL   27.07.2022

#FROTO   28.07.2022

#TTRAK   1.08.2022

#GOODY    8.08.2022

#BMSCH   8.08.2022

#BMSTL   8.08.2022",9,89,14080,False,"['TOASO', 'ARCLK', 'TAVHL', 'FROTO', 'TTRAK', 'GOODY', 'BMSCH', 'BMSTL']",
2022-07-22 06:01:38+00:00,borsa_adami,"#TOASO
Destek : 63,05
Direnç : 64,95",4,34,5472,False,['TOASO'],
2022-07-22 06:01:28+00:00,FinansDunyamm,"İş Yatırım 2023 Temettü Tahmini:

#EREGL 6,568 TL
#VESBE 1,711 TL
#TTRAK 21,924 TL
#BIMAS 7,126 TL
#KRDMD 1,01 TL
#TTKOM 0,907 TL
#TOASO 3,304 TL
#OTKAR 22,627 TL
#FROTO 11,631 TL
#SISE 0,829 TL
#ARCLK 3,391 TL
#ENKAI 0,608 TL
#LOGO 1,267 TL
#ASELS 0,249 TL
#DOAS 10,075 TL",0,2,32,False,"['EREGL', 'VESBE', 'TTRAK', 'BIMAS', 'KRDMD', 'TTKOM', 'TOASO', 'OTKAR', 'FROTO', 'SISE', 'ARCLK', 'ENKAI', 'LOGO', 'ASELS', 'DOAS']",
2022-07-22 05:36:22+00:00,cemgulernettr,"2.çeyrek finansal raporlarını açıklama tarihi belli olan şirketler

#TOASO 26.7.22
#ARCLK 26.7.22
#TAVHL 27.7.22
#FROTO 28.7.22
#TTRAK 1.8.22
#GOODY 8.8.22
#BMSCH 8.8.22
#BMSTL 8.8.22
#TTKOM 8.8.22
#MGROS 9.8.22
#AEFES 10.8.22
#AKSA 11.8.22
#PGSUS 15.8.22

#BorsaIstanbul #hisse",0,0,11,False,"['TOASO', 'ARCLK', 'TAVHL', 'FROTO', 'TTRAK', 'GOODY', 'BMSCH', 'BMSTL', 'TTKOM', 'MGROS', 'AEFES', 'AKSA', 'PGSUS', 'BorsaIstanbul', 'hisse']",
2022-07-22 04:24:02+00:00,king_basgan,"Sabaha kavuşturan Allahımıza şükürler olsun. 
Hayırlı Cumalar arkadaşlar ,
Bereketli güzel bir gün olması dileğiyle 🤲🧿
#Sasa #EREGL #aksa
#thyo #hktas #froto #ttrak #toaso #vesbe #ASELS #sise #info #AKSEN #info",0,16,673,False,"['Sasa', 'EREGL', 'aksa', 'thyo', 'hktas', 'froto', 'ttrak', 'toaso', 'vesbe', 'ASELS', 'sise', 'info', 'AKSEN', 'info']",
2022-07-21 22:19:13+00:00,onderanaliz,"Sene sonu yada en geç Şubat ayına kadar bazı #hisse lerde beklediğim fiyatlar; 

#enjsa 22 TL
#sahol 40 TL
#eregl 80 TL (temettü ye kadar)
#toaso 115 TL
#froto 420 TL
#krdmd 22 TL

Bakalım ne olacak, before/after yaparız.. 😊",4,11,341,False,"['hisse', 'enjsa', 'sahol', 'eregl', 'toaso', 'froto', 'krdmd']",
2022-07-21 19:29:33+00:00,FinansDunyamm,"Fiyatı Enflasyona Göre Ucuz Kalan Bist Şirketleri:

• Ereğli Demir Çelik #EREGL
• Vestel Beyaz Eşya #VESBE
• Logo Yazılım #LOGO
• Türk Telekom #TTKOM
• Vestel #VESTL
• Tofaş #TOASO 
• Bim #BIMAS 
• Anadolu Efes #AEFES
• Anadolu Sigorta #ANSGR
• İndeks Bilgisayar #INDES",2,6,32,False,"['EREGL', 'VESBE', 'LOGO', 'TTKOM', 'VESTL', 'TOASO', 'BIMAS', 'AEFES', 'ANSGR', 'INDES']",
2022-07-21 18:51:52+00:00,ism_59,"2022/06 dönemi bilanço tarihleri:
#TOASO 26.07.2022
#ARCLK 26.07.2022
#TAVHL 27.07.2022
#FROTO 28.07.2022
#TTRAK 1.08.2022 
#GOODY 8.08.2022
#BMSCH 8.08.2022
#BMSTL 8.08.2022
#TTKOM 8.08.2022
#MGROS 9.08.2022
#AEFES 10.08.2022
#MPARK 11.08.2022
#AKSA 11.08.2022
#PGSUS 15.08.2022",2,11,479,False,"['TOASO', 'ARCLK', 'TAVHL', 'FROTO', 'TTRAK', 'GOODY', 'BMSCH', 'BMSTL', 'TTKOM', 'MGROS', 'AEFES', 'MPARK', 'AKSA', 'PGSUS']",
2022-07-21 15:58:20+00:00,ZaferIn27193849,"bilanço süper gelecek hisseler,#tuprs,#kozaa,#tavhl,#toaso,#ccola,#ykbnk,#ttkom,YTD",1,10,55,False,"['tuprs', 'kozaa', 'tavhl', 'toaso', 'ccola', 'ykbnk', 'ttkom']",
2022-07-21 15:02:49+00:00,margasi46,"Elektrikli Araçlara yatırım yapan şirketler
🛑 #kontr  pil teknolojisi yatırımı
🛑#froto 20.5 milyar Euro araç yatırımı
🛑#vestl elektrikli araç şarj cihazı
🛑#enjsa şarj istasyonu 
🛑#toaso 2025'e kadar elektrikli araç      dönüşümü
🛑#karel , #togg tedarikçileri arasında",12,69,6383,False,"['kontr', 'froto', 'vestl', 'enjsa', 'toaso', 'karel', 'togg']",
2022-07-21 14:05:25+00:00,kendinetemettu1,"2022/06 dönemi bilanço tarihleri:
#TOASO    26.07.2022
#ARCLK    26.07.2022
#TAVHL    27.07.2022
#FROTO 28.07.2022
#TTRAK    1.08.2022
#GOODY    8.08.2022
#BMSCH    8.08.2022",1,5,327,False,"['TOASO', 'ARCLK', 'TAVHL', 'FROTO', 'TTRAK', 'GOODY', 'BMSCH']",
2022-07-21 12:53:07+00:00,AlmilaYusra,Sıra sende #toaso bas gaza 🚀🚀,0,2,64,False,['toaso'],
2022-07-21 12:47:31+00:00,MuharremTavan,Bir haber mi var ? 🤔 YTD #TOASO,0,0,11,False,['TOASO'],
2022-07-21 12:32:45+00:00,carpobrotus,"efsane halı saha 5’lisi ;  kalede baba #toaso , geride #aksa , sol kanat #hekts , sağ kanat #sasa , ileride ise hızlı golcü genç yetenek #kmpur 🧿♥️😊 şampiyon portföy 🚀",0,4,3,False,"['toaso', 'aksa', 'hekts', 'sasa', 'kmpur']",
2022-07-21 12:18:04+00:00,MelisKocc__,"AMB 11 yıl sonra % 0.50 bp faiz artırdı 

#thyao #doco #tavhl #pgsus #arclk #egeen #vestl #otkar #toaso #froto #akbnk #garan #sise #kartn #gsdde #celha #sanfm #vestl #vkgyo #eregl",0,7,2244,False,"['thyao', 'doco', 'tavhl', 'pgsus', 'arclk', 'egeen', 'vestl', 'otkar', 'toaso', 'froto', 'akbnk', 'garan', 'sise', 'kartn', 'gsdde', 'celha', 'sanfm', 'vestl', 'vkgyo', 'eregl']",
