date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-07-23 22:29:11+00:00,bigborsa,"Recep gidiyor mu?

#mgros #viop #GARAN #THYAO #AKBNK #KCHOL #SISE #SAHOL #BIMAS #YKBNK #ISCTR #EKGYO #KOZAL #EREGL #TUPRS #ASELS #FROTO #KOZAA #SASA #HEKTS #KRDMD #SKBNK #TCELL #KARSN #TTKOM #VAKBN #TAVHL #GLYHO #DOHOL #AKSA #PGSUS #KONKA #ARCLK #ALARK #usd #bagfs #dolar #eur",1,1,11448,False,"['mgros', 'viop', 'GARAN', 'THYAO', 'AKBNK', 'KCHOL', 'SISE', 'SAHOL', 'BIMAS', 'YKBNK', 'ISCTR', 'EKGYO', 'KOZAL', 'EREGL', 'TUPRS', 'ASELS', 'FROTO', 'KOZAA', 'SASA', 'HEKTS', 'KRDMD', 'SKBNK', 'TCELL', 'KARSN', 'TTKOM', 'VAKBN', 'TAVHL', 'GLYHO', 'DOHOL', 'AKSA', 'PGSUS', 'KONKA', 'ARCLK', 'ALARK', 'usd', 'bagfs', 'dolar', 'eur']",
2022-07-23 21:06:27+00:00,bigborsa,"Bu hafta viopta hangi ikili olabilir?

(Yuksek enflasyon donemlerinde borsada vadelide kisa cok risklidir, ben bu donemde hic kisa pozisyon tutmuyorum)

#VIOP #AKSA #AKSEN #ALKIM #ARCLK #BERA #BIMAS #BRSAN #BRISA #POLHO #SASA #SELEC #SISE #TKNSA #TCELL #TTKOM #ULKER #YATAS #DOLAR",1,3,11448,False,"['VIOP', 'AKSA', 'AKSEN', 'ALKIM', 'ARCLK', 'BERA', 'BIMAS', 'BRSAN', 'BRISA', 'POLHO', 'SASA', 'SELEC', 'SISE', 'TKNSA', 'TCELL', 'TTKOM', 'ULKER', 'YATAS', 'DOLAR']",
2022-07-23 20:16:48+00:00,Borsaemiliano,"Yeni hafta için ;
#angen 
#icbct
 #conse
#ttkom 
#glcvy güveniyorum ve devam ediyorum takibime 😉",7,43,9934,False,"['angen', 'icbct', 'conse', 'ttkom', 'glcvy']",
2022-07-23 18:13:29+00:00,TraderBroo,"Haftalık Liste Dışı Seans İçi Vurguladıklarımızdan
#ISFIN-#GARAN-#BAGFS-#YEOTK
#KLKIM-#TTKOM-#KRVGD-#TAVHL
#CIMSA-#KTSKR-#TUPRS-#ERCB
#SKBNK-#GEREL-#TKFEN-#ULUFA
#EGGUB-#AGHOL-#KLGYO-#DYOBY
Güzel Getiriler Sağladılar
RT ve Beğenilerinizi Bekliyorum👍👍
KesinlikleY.T.D.
🧿🍀🙏👍👋",16,173,65621,False,"['ISFIN', 'GARAN', 'BAGFS', 'YEOTK', 'KLKIM', 'TTKOM', 'KRVGD', 'TAVHL', 'CIMSA', 'KTSKR', 'TUPRS', 'ERCB', 'SKBNK', 'GEREL', 'TKFEN', 'ULUFA', 'EGGUB', 'AGHOL', 'KLGYO', 'DYOBY']",
2022-07-23 16:02:16+00:00,ZaferIn27193849,"bu hafta takib listem tek sebep bilanço bereketi fakirin umudu bitmez,#toaso,#tavhl,#garan,#akgrt,#goody,#ttkom,#brisa,#ccola,#enejsa,#kozal,#migros,#thyao ,10 ağostosa kadar,YTD",0,4,55,False,"['toaso', 'tavhl', 'garan', 'akgrt', 'goody', 'ttkom', 'brisa', 'ccola', 'enejsa', 'kozal', 'migros', 'thyao']",
2022-07-23 12:43:46+00:00,burkos3,#bıst100 #parsn #rnpol #sekur #seykm #smart #sokm #tatgd #tknsa #tkfen #tmpol #trcas #ttkom #ulas #verus #vestl #vkfyo #vkgyo #yesıl #yylgd takıp listem iyi hafta sonları,0,1,124,False,"['bıst100', 'parsn', 'rnpol', 'sekur', 'seykm', 'smart', 'sokm', 'tatgd', 'tknsa', 'tkfen', 'tmpol', 'trcas', 'ttkom', 'ulas', 'verus', 'vestl', 'vkfyo', 'vkgyo', 'yesıl', 'yylgd']",
2022-07-23 12:05:00+00:00,hissediyoruz,"Cuma günkü kapanışla birlikte haftalık mum formasyonu oluşan 6 HİSSE ve BORSA YORUMU birazdan sizlerle olacak!

Kimler beklemede?:)

#borsa #garan #ykbnk #odas #krdmd #karsn #petkm #eregl #asels #thyao #sise #izmdc #isctr #ttkom #tknsa #sasa #usak #hekts #tavhl #tmsn #bera #desa",0,35,10784,False,"['borsa', 'garan', 'ykbnk', 'odas', 'krdmd', 'karsn', 'petkm', 'eregl', 'asels', 'thyao', 'sise', 'izmdc', 'isctr', 'ttkom', 'tknsa', 'sasa', 'usak', 'hekts', 'tavhl', 'tmsn', 'bera', 'desa']",
2022-07-23 08:59:50+00:00,Borsaemiliano,"Listemizin alış ve bu hafta gördüğü en yüksek seviyeler;
#conse 3,48- 3,67✅
#ttkom 8,71-9,16✅
#angen 26,64-32,36✅
#icbct 4,90-5,75 ✅ 
#isfin 3,54 - 3,83✅
#ozgyo 2,22-2,48✅
#arzum 15,88 - 16,10✅ toplamda 7 hisse hepsi de kârda 👏
Takipte kalın çok güzel işler geliyor..",4,45,9934,False,"['conse', 'ttkom', 'angen', 'icbct', 'isfin', 'ozgyo', 'arzum']",
2022-07-23 08:38:16+00:00,ZaferIn27193849,"#ttkom, sıralı hedefler 9.45,9.80,10.40, YTD",0,2,55,False,['ttkom'],
2022-07-23 08:13:21+00:00,Atesinoglu42,"Faturamı ödemek için Türk Telekom bayisine uğradım, ödeme sırasında çalışan personel kaza ile telefonumun üzerine çay döktü. İnsanlık hali olabilir şikayetçi olmadım. Ancak telefonum çalışmadığı için bana yeni telefon teklif ettiler faturaya ek 500 TL. #TTKOM ++",0,0,15,False,['TTKOM'],
