date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-07-23 22:52:36+00:00,Alper_Denizer,"*** ELEŞTİRİ  YAPMAK YASAK ***

-   GOLD_HİSSE 
-   İBRAHİM MERT ŞAHİN

tarafından engellendim..
çok çok hafif ve kibar bir eleştiri yapmıştım.
#bist100 #eregl #sasa #arclk #tuprs #thyao #dohol #alark #kchol #sahol #akbnk #garan",0,0,28,False,"['bist100', 'eregl', 'sasa', 'arclk', 'tuprs', 'thyao', 'dohol', 'alark', 'kchol', 'sahol', 'akbnk', 'garan']",
2022-07-23 22:29:11+00:00,bigborsa,"Recep gidiyor mu?

#mgros #viop #GARAN #THYAO #AKBNK #KCHOL #SISE #SAHOL #BIMAS #YKBNK #ISCTR #EKGYO #KOZAL #EREGL #TUPRS #ASELS #FROTO #KOZAA #SASA #HEKTS #KRDMD #SKBNK #TCELL #KARSN #TTKOM #VAKBN #TAVHL #GLYHO #DOHOL #AKSA #PGSUS #KONKA #ARCLK #ALARK #usd #bagfs #dolar #eur",0,0,11448,False,"['mgros', 'viop', 'GARAN', 'THYAO', 'AKBNK', 'KCHOL', 'SISE', 'SAHOL', 'BIMAS', 'YKBNK', 'ISCTR', 'EKGYO', 'KOZAL', 'EREGL', 'TUPRS', 'ASELS', 'FROTO', 'KOZAA', 'SASA', 'HEKTS', 'KRDMD', 'SKBNK', 'TCELL', 'KARSN', 'TTKOM', 'VAKBN', 'TAVHL', 'GLYHO', 'DOHOL', 'AKSA', 'PGSUS', 'KONKA', 'ARCLK', 'ALARK', 'usd', 'bagfs', 'dolar', 'eur']",
2022-07-23 22:20:46+00:00,davutgunduz1907,"Yakıt verimliliği ve elektrikli araçlardaki gelişmeler nedeniyle 2018 ve 2050 yılları arasında küresel petrol talebinin %47 düşeceğini tahmin ediyor. Elektrikli araçlar için elektrik, ağırlıklı olarak yenilenebilir kaynaklar ve doğalgazdan karsılanacak
#tuprs #petkm #basgz #ntgaz",0,1,186,False,"['tuprs', 'petkm', 'basgz', 'ntgaz']",
2022-07-23 18:13:29+00:00,TraderBroo,"Haftalık Liste Dışı Seans İçi Vurguladıklarımızdan
#ISFIN-#GARAN-#BAGFS-#YEOTK
#KLKIM-#TTKOM-#KRVGD-#TAVHL
#CIMSA-#KTSKR-#TUPRS-#ERCB
#SKBNK-#GEREL-#TKFEN-#ULUFA
#EGGUB-#AGHOL-#KLGYO-#DYOBY
Güzel Getiriler Sağladılar
RT ve Beğenilerinizi Bekliyorum👍👍
KesinlikleY.T.D.
🧿🍀🙏👍👋",16,173,65621,False,"['ISFIN', 'GARAN', 'BAGFS', 'YEOTK', 'KLKIM', 'TTKOM', 'KRVGD', 'TAVHL', 'CIMSA', 'KTSKR', 'TUPRS', 'ERCB', 'SKBNK', 'GEREL', 'TKFEN', 'ULUFA', 'EGGUB', 'AGHOL', 'KLGYO', 'DYOBY']",
2022-07-23 17:21:20+00:00,baba_ve_kizi,"Ne zamandır anket yapmıyorduk arkadaşlar
Temettü emeklilisi olduğunuzda hedefiniz aylık kaç asgari ücret bugünün sartlariyla

#bist100 #BIST30 #EREGL #sasa #hekts #kontr #aksa #froto #tuprs #temettueemekliliği #hisse #THYAO #BIMAS #DolarTL #endeks #emeklilik #anket #BorsaIstanbul",1,0,449,False,"['bist100', 'BIST30', 'EREGL', 'sasa', 'hekts', 'kontr', 'aksa', 'froto', 'tuprs', 'temettueemekliliği', 'hisse', 'THYAO', 'BIMAS', 'DolarTL', 'endeks', 'emeklilik', 'anket', 'BorsaIstanbul']",
2022-07-23 09:31:21+00:00,ZaferIn27193849,"#tuprs, bilanço öncesi bir hareket olur koç soguk havaları seviyor belli ,bilanço sonrası tehlike patlıyıcı madde,YTD",0,1,55,False,['tuprs'],
2022-07-23 08:19:12+00:00,vbeyri83,Bilanço dönemi yaklaşıyor. Bilançosu kuvvetli gelebilecek şirketler : #sasa #kords #froto #asuzu #tuprs #egeen #sahol #eregl #sıse #alark #aksen,5,10,12,False,"['sasa', 'kords', 'froto', 'asuzu', 'tuprs', 'egeen', 'sahol', 'eregl', 'sıse', 'alark', 'aksen']",
2022-07-23 07:06:35+00:00,_bulltrader_,"Ortalama bir traderın insani yönü onun en büyük düşmanıdır.. 

Finansal piyasalarda duygulara yer yoktur.. 

#bist100 #thyao #asels #akbnk #petkm #tuprs",0,4,1920,False,"['bist100', 'thyao', 'asels', 'akbnk', 'petkm', 'tuprs']",
2022-07-23 06:27:10+00:00,TemettuUv,"En beğendigim büyüme hisseleri serisi 1'incisi:1)#froto🎯,2)#sıse✍,3)#logo🎯,4)#arclk✍,5)#sasa🎯,6)#kords✍,7)#vesbe🎯,8)#tuprs✍,9)#ttrak🎯,10)#hekts.Gelecekte uzun vadede bu hisseler bambaşka yerlerde olur diye inanıyorum.",28,293,4942,False,"['froto', 'sıse', 'logo', 'arclk', 'sasa', 'kords', 'vesbe', 'tuprs', 'ttrak', 'hekts']",
2022-07-22 23:06:22+00:00,SystemTrade3,"Bizler SystemTrade ekibi olarak kendi yazdığımız taramalarımız ile borsanıza renk katmayı (bolca yeşillik inşallah) planlıyoruz ✅💵💰

Takip edip, bildirimleri açanlar kazanacak ⏳⏰

#thyao #sise #ekgyo #eregl #sahol #odas #kchol #uluun #tuprs #asels #sasa #tkfen #alark #akbnk",7,14,41,False,"['thyao', 'sise', 'ekgyo', 'eregl', 'sahol', 'odas', 'kchol', 'uluun', 'tuprs', 'asels', 'sasa', 'tkfen', 'alark', 'akbnk']",
2022-07-22 20:25:00+00:00,kydostuayazatam,"Güzel bir haftayı geride bıraktık.

Noktayı koyan #ensri ye teşekkür ederiz 💪🏻💪🏻 

Herkese iyi hafta sonları 🙏🏻

#XU100 #BIST30 #endex #bist100
#borsa #BorsaIstanbul #eregl #thyao #tuprs #sise #karsn #garan #AKBNK #krdmd #tkfen",1,1,10,False,"['ensri', 'XU100', 'BIST30', 'endex', 'bist100', 'borsa', 'BorsaIstanbul', 'eregl', 'thyao', 'tuprs', 'sise', 'karsn', 'garan', 'AKBNK', 'krdmd', 'tkfen']",
2022-07-22 15:49:09+00:00,GuppusT,"#haftalık Z raporu
#ıntem %16.54
#kgyo%16
#yeotk %10.95
#petkin%8.60
#tuprs%8.85
#ısctr%9.75
#bagfas%8.80
#arzum%4.50
#bımas%3.35
#elite %0.50
#sayas tırt
#brlsm tırt.",0,0,40,False,"['haftalık', 'ıntem', 'kgyo', 'yeotk', 'petkin', 'tuprs', 'ısctr', 'bagfas', 'arzum', 'bımas', 'elite', 'sayas', 'brlsm']",
2022-07-22 15:29:50+00:00,haberyatirim,"“Rusya-Ukrayna gerginliğine bağlı olarak artan petrol fiyatlamaları, ürün marjlarında yüksek karlılığa sebebiyet verecektir. Orta distilat talebinin öncülüğünde #TUPRS’tan güçlü faaliyet karlılığı ve son yılların öne çıkan finansallarını açıklamasını bekliyoruz.”",1,15,5379,False,['TUPRS'],
2022-07-22 15:18:10+00:00,bigborsa,"Super bir hafta oldu. Tatilden once %150 maldaydim. Hisse, viop, BES hisse fonlar, kredili islemler. 

Herkesi onceden uyardik. 

#mgros #viop #GARAN #THYAO #AKBNK #KCHOL #SISE #SAHOL #BIMAS #YKBNK #ISCTR #EKGYO #KOZAL #EREGL #TUPRS #ASELS #FROTO #KOZAA #SASA #HEKTS #usd #dolar",0,8,11448,False,"['mgros', 'viop', 'GARAN', 'THYAO', 'AKBNK', 'KCHOL', 'SISE', 'SAHOL', 'BIMAS', 'YKBNK', 'ISCTR', 'EKGYO', 'KOZAL', 'EREGL', 'TUPRS', 'ASELS', 'FROTO', 'KOZAA', 'SASA', 'HEKTS', 'usd', 'dolar']",
2022-07-22 14:24:41+00:00,algotrader44,"#XU100 #bist100 #x30yvade #thyao #garan #EREGL #kchol #krdmd #tuprs #hekts #sasa #asesl #kchol #kozal #sokm #tkfen #vestl #tcell #ttkom #GUBRF 
Palaya 100 Defa Söyledim
Sırtına Bindim Dedim
Sen Nereye Ben Oraya 
Şimdilik iyi Geçiniyoruz
Nazar Değmez İnşallah
Akşama Görüşeceğiz",0,4,381,False,"['XU100', 'bist100', 'x30yvade', 'thyao', 'garan', 'EREGL', 'kchol', 'krdmd', 'tuprs', 'hekts', 'sasa', 'asesl', 'kchol', 'kozal', 'sokm', 'tkfen', 'vestl', 'tcell', 'ttkom', 'GUBRF']",
2022-07-22 14:23:20+00:00,Erdem_Kaynar_,"Geçen çeyrekte beklentilerin altında kalmasına rağmen bu dönem iyi sonuçlar açıklayacağını düşündüğüm #TUPRS 'ı 247,80₺ fiyat ile portföyüme ekledim. Bilanço sonrası FK tahminim 8'in altında.",0,19,2571,False,['TUPRS'],
2022-07-22 14:04:46+00:00,TeknikAvcisi,"#tuprs 
Geldi mi tuprs 255 lerden 248 247 lere dün de bugünde",0,26,2653,False,['tuprs'],
