date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-07-23 22:45:28+00:00,Selen18811938,"#SONDAKIKA #bist #tezol #smrtg #alka #suntk #turex #Eregl #vestl #asels 

Aşağı yönlü trendi olan hisseler kademeli olarak sadece mal toplamak için tercih edilmelidir. Kısa vade al-sat için zarar ettirir. Biraz Primlide olsa yukarı yönlü trendi olan hisseler tercih edilmelidir.",0,0,108,False,"['SONDAKIKA', 'bist', 'tezol', 'smrtg', 'alka', 'suntk', 'turex', 'Eregl', 'vestl', 'asels']",
2022-07-23 17:30:09+00:00,TheTraderT1,"#bist100 de kötü alışkanlıklar

1) Sisteminizi sık sık değiştirmek
2) Stop olamamak 
3) Çok hızlı kar elde etme isteği 
4) Hırs
5) Aşırı işlem
6) Tüyo 
7) Hisse seçimindeki yanlışlıklar 
8) Sabredememek

#thyao #doco #tavhl #pgsus #arclk #egeen #vestl #otkar #toaso #froto #eregl",0,54,30521,False,"['bist100', 'thyao', 'doco', 'tavhl', 'pgsus', 'arclk', 'egeen', 'vestl', 'otkar', 'toaso', 'froto', 'eregl']",
2022-07-23 13:30:15+00:00,Mustafa93553233,#vestl yaprak sütü hissesini uçuracaklar takip edin,0,0,3,False,['vestl'],
2022-07-23 12:43:46+00:00,burkos3,#bıst100 #parsn #rnpol #sekur #seykm #smart #sokm #tatgd #tknsa #tkfen #tmpol #trcas #ttkom #ulas #verus #vestl #vkfyo #vkgyo #yesıl #yylgd takıp listem iyi hafta sonları,0,1,124,False,"['bıst100', 'parsn', 'rnpol', 'sekur', 'seykm', 'smart', 'sokm', 'tatgd', 'tknsa', 'tkfen', 'tmpol', 'trcas', 'ttkom', 'ulas', 'verus', 'vestl', 'vkfyo', 'vkgyo', 'yesıl', 'yylgd']",
2022-07-23 09:42:06+00:00,ASIM_YALCINKAYA,"en UCUZ #BIST 100 #hisse'leri
#SAHOL 19,73&gt;44,3
#INDES 8,24&gt;16,6
#GOZDE 8,65&gt;17,1
#VESTL 24,42&gt;46,9
#KRDMD 10,7&gt;20,2
#BUCIM 2,61&gt;4,78
#EREGL 28,14&gt;50,5
#PETKM 8,81&gt;15
#ASELS 22,36&gt;35,7
#ALGYO 35,94&gt;57,1
#TRGYO 7,85&gt;12,3
#ISMEN 19,85&gt;30,7
FKO DD FAVÖK son verilerle
Kendime Not YTD",34,290,138938,False,"['BIST', 'hisse', 'SAHOL', 'INDES', 'GOZDE', 'VESTL', 'KRDMD', 'BUCIM', 'EREGL', 'PETKM', 'ASELS', 'ALGYO', 'TRGYO', 'ISMEN']",
2022-07-23 09:21:20+00:00,ZaferIn27193849,"#vestl,bir yıldır uyudun dev adam uyan togg geliyor sene sonu,kısada hedefler 26, 27, 30,YTD",0,1,55,False,['vestl'],
2022-07-23 07:54:48+00:00,MRKEYNES2,"#VESTL : DAHA ÖNCEDE YAZMIŞTIM. HİÇ SEVMEDİĞİM HİSSE. HERKES GİDER BU BAKAR... GÜZELLEŞMEYE BAŞLADI. BU SEFER SANKİ BİRİLERİ BİR ŞEYLER DENİYOR. FAZLASINA GİRMEYEYİM...*BUNLAR BILGI AMAÇLIDIR. ASLA ALIM, SATIM TAVSIYESI DEGILDIR.*",0,16,1991,False,['VESTL'],
2022-07-22 22:35:37+00:00,Adalet13515799,#vestl Yedek parçada DMSAŞ 🌐🌐🌐,0,1,9,False,['vestl'],
2022-07-22 18:02:23+00:00,inisiyator,"👉işte anket

sizce gelecek hafta

borsa nasıl olur❌

#bist #xu100 #garan #halkb #vakbn #albrk #işctr #akbnk #ykbnk #icbct #enkai #asels #kchol #ereğl #thyao #vestl #petkm #sasa #sahol #aghol",0,3,5564,False,"['bist', 'xu100', 'garan', 'halkb', 'vakbn', 'albrk', 'işctr', 'akbnk', 'ykbnk', 'icbct', 'enkai', 'asels', 'kchol', 'ereğl', 'thyao', 'vestl', 'petkm', 'sasa', 'sahol', 'aghol']",
2022-07-22 17:36:38+00:00,davutgunduz1907,"Toplu taşımadan e-scooter'lara: Tüm taşımacılık sektörü elektriğe dönüyor
#gerel #zoren  #dokta #togg #tcell #vestl #karsn #ttrak #froto #otkar #cemas #parsn",0,4,186,False,"['gerel', 'zoren', 'dokta', 'togg', 'tcell', 'vestl', 'karsn', 'ttrak', 'froto', 'otkar', 'cemas', 'parsn']",
2022-07-22 15:09:30+00:00,giraygokirmak,18:06:17 saatli taramada #VESTL kısa vadeli trendi nötr oldu.,0,1,345,False,['VESTL'],
2022-07-22 14:24:41+00:00,algotrader44,"#XU100 #bist100 #x30yvade #thyao #garan #EREGL #kchol #krdmd #tuprs #hekts #sasa #asesl #kchol #kozal #sokm #tkfen #vestl #tcell #ttkom #GUBRF 
Palaya 100 Defa Söyledim
Sırtına Bindim Dedim
Sen Nereye Ben Oraya 
Şimdilik iyi Geçiniyoruz
Nazar Değmez İnşallah
Akşama Görüşeceğiz",0,4,381,False,"['XU100', 'bist100', 'x30yvade', 'thyao', 'garan', 'EREGL', 'kchol', 'krdmd', 'tuprs', 'hekts', 'sasa', 'asesl', 'kchol', 'kozal', 'sokm', 'tkfen', 'vestl', 'tcell', 'ttkom', 'GUBRF']",
2022-07-22 11:40:39+00:00,investleader20,Şu #VESTL ne zaman gelsek pişman ediyor aldığım epi topu 45000 lot takıldıysan 3000'i vereyim. Bak Tastelen Yaylasında ev bark yaptık şenlendirdik memleketini at eşek dana inek baktık. Ceviz diktik selvi diktik kiraz diktik. Sonra sattık geçtik diye mi ben gelince küsüyorsun.,0,6,436,False,['VESTL'],
2022-07-22 11:11:49+00:00,nikyokbitti,"#celha düzeltme yapıyor. #brsan yürü koçum
#mgros  yavaştan git :)
#netas ölü taklidine devam
#gedza sende gideceksin.
#tezol bölündün güzel bilanço gelir umarım.
#vestl :) mal mal dur
bu enflasyonda ciroları göreceğiz.",0,2,620,False,"['celha', 'brsan', 'mgros', 'netas', 'gedza', 'tezol', 'vestl']",
2022-07-22 11:04:22+00:00,giraygokirmak,14:01:21 saatli taramada #VESTL kısa vadeli yükseliş trendi tespit edildi.,0,1,345,False,['VESTL'],
2022-07-22 08:26:02+00:00,ekonomistomer,#vestl hacimler düşük,0,0,4,False,['vestl'],
2022-07-22 06:59:35+00:00,investleader20,"UTANMADAN YALANSIZ YAZALIM
#VESTL #KOZAL #TCELL #BOBET :))))))))))) 😂😍😍😍😍😍😍😍🚀🚀🚀😂😂😍😍🚀🚀🚀🚀🚀🚀🚀🚀🕵️‍♀️🕵️‍♀️🕵️‍♀️🕵️‍♀️🕵️‍♀️🕵️‍♀️🕵️‍♀️🕵️‍♀️",0,9,436,False,"['VESTL', 'KOZAL', 'TCELL', 'BOBET']",
2022-07-22 06:48:23+00:00,traderserobaba,#VESTL 9.40 eşleşmesinde %6 artıya geçiyor sonra yataya geliyor .Tekrardan %4 oluyor. Bugün senin günün mü #vestl ?,0,6,804,False,"['VESTL', 'vestl']",
2022-07-21 19:29:33+00:00,FinansDunyamm,"Fiyatı Enflasyona Göre Ucuz Kalan Bist Şirketleri:

• Ereğli Demir Çelik #EREGL
• Vestel Beyaz Eşya #VESBE
• Logo Yazılım #LOGO
• Türk Telekom #TTKOM
• Vestel #VESTL
• Tofaş #TOASO 
• Bim #BIMAS 
• Anadolu Efes #AEFES
• Anadolu Sigorta #ANSGR
• İndeks Bilgisayar #INDES",2,6,32,False,"['EREGL', 'VESBE', 'LOGO', 'TTKOM', 'VESTL', 'TOASO', 'BIMAS', 'AEFES', 'ANSGR', 'INDES']",
2022-07-21 18:51:22+00:00,algotrader44,"#krdmd #tuprs #hekts #sasa #asesl #kchol #kozal  #tkfen #vestl #ttkom #tursg #ecilc #kozal #gubrf #oyakc #dohol #tcell #isgyo #karsn #garan #mgros
Robotik İşlem Yapan Arkadaşlar
Durumlar Nasıl?
Bu Volatil Piyasada Robotlar Başarılı Olabiliyormu?
Duygular Devreye Giriyormu?",0,4,381,False,"['krdmd', 'tuprs', 'hekts', 'sasa', 'asesl', 'kchol', 'kozal', 'tkfen', 'vestl', 'ttkom', 'tursg', 'ecilc', 'kozal', 'gubrf', 'oyakc', 'dohol', 'tcell', 'isgyo', 'karsn', 'garan', 'mgros']",
2022-07-21 17:31:52+00:00,mehmet332602,"#VESTL
#tcell
#aghol 
Geliyor gelmekte olan #TOGG",1,19,19007,False,"['VESTL', 'tcell', 'aghol', 'TOGG']",
2022-07-21 15:33:20+00:00,algotrader44,"#krdmd #tuprs #hekts #sasa #asesl #kchol #kozal  #tkfen #vestl #ttkom #tursg #ecilc #kozal #gubrf #oyakc #dohol #tcell #isgyo #karsn #garan #mgros
Günü Yatay Artı ile Kapattık
Yani Dünkü Güzel Zararın 
Düzeltmesi veya Tepkisi
Kazanç Yataya Sardı
Dip Çalışması Yapıyor Diyelim",0,3,381,False,"['krdmd', 'tuprs', 'hekts', 'sasa', 'asesl', 'kchol', 'kozal', 'tkfen', 'vestl', 'ttkom', 'tursg', 'ecilc', 'kozal', 'gubrf', 'oyakc', 'dohol', 'tcell', 'isgyo', 'karsn', 'garan', 'mgros']",
2022-07-21 15:12:04+00:00,giraygokirmak,18:07:48 saatli taramada #VESTL için saatlik periyotta Yükselen Bayrak Formasyonu oluştu.,0,2,345,False,['VESTL'],
2022-07-21 15:02:49+00:00,margasi46,"Elektrikli Araçlara yatırım yapan şirketler
🛑 #kontr  pil teknolojisi yatırımı
🛑#froto 20.5 milyar Euro araç yatırımı
🛑#vestl elektrikli araç şarj cihazı
🛑#enjsa şarj istasyonu 
🛑#toaso 2025'e kadar elektrikli araç      dönüşümü
🛑#karel , #togg tedarikçileri arasında",12,70,6383,False,"['kontr', 'froto', 'vestl', 'enjsa', 'toaso', 'karel', 'togg']",
2022-07-21 13:58:03+00:00,investleader20,"#VESTL
EURO'nun güçlenmesi ihracat verilerini etkileyecektir.
VESTL benimdir :)",1,6,436,False,['VESTL'],
2022-07-21 12:44:37+00:00,mioxwiox,"#vestl yeter artık, halsizlik varsa bir supradyn, başin ağrıyorsa bir aspirin iç.",0,1,11,False,['vestl'],
2022-07-21 12:18:04+00:00,MelisKocc__,"AMB 11 yıl sonra % 0.50 bp faiz artırdı 

#thyao #doco #tavhl #pgsus #arclk #egeen #vestl #otkar #toaso #froto #akbnk #garan #sise #kartn #gsdde #celha #sanfm #vestl #vkgyo #eregl",0,7,2244,False,"['thyao', 'doco', 'tavhl', 'pgsus', 'arclk', 'egeen', 'vestl', 'otkar', 'toaso', 'froto', 'akbnk', 'garan', 'sise', 'kartn', 'gsdde', 'celha', 'sanfm', 'vestl', 'vkgyo', 'eregl']",
2022-07-21 10:47:35+00:00,investleader20,E ben bu #VESTL kaldıramıyorum inatçı keçi :D,0,4,436,False,['VESTL'],
2022-07-21 10:29:08+00:00,bigborsa,"MB faizini kimse umursamaz. #ECB %0,50 faiz artisi yapabilir. #EUR/#USD biraz guclenir, Turkiye ihracati #Euro ile yapiyor, enerjiyi #USD ile aliyor. Yani #ECB faiz artirirsa fena olmaz. Bugun bunlari bekliyor piyasa.

#viop #xu030 #asels #tuprs #vestl #arclk #klmsn #dolar #gbp",1,7,11448,False,"['ECB', 'EUR', 'USD', 'Euro', 'USD', 'ECB', 'viop', 'xu030', 'asels', 'tuprs', 'vestl', 'arclk', 'klmsn', 'dolar', 'gbp']",
2022-07-21 08:09:32+00:00,Canbilzeriannnn,"3 yıllık net karına satılan bir şirket söyleyeyim.
#VESTL
Bedavanin bedavasidir.
Pd= 8milyar
Yıllık net kar= 2.5 milyar civarı olacak.
Verecegi temettüler çabası.
İhracat oranının cok yüksek olması avantaj döviz kazanıyor.
Dolar bazlı grafik dibin dibinde.
Hedef fiyatim 60TL",0,2,9042,False,['VESTL'],
2022-07-21 06:44:19+00:00,unsalhakann,alım emirleri yoğunlaşan hisseler #arclk #DOHOL #sasa #tcell #ttkom #vestl,0,6,60,False,"['arclk', 'DOHOL', 'sasa', 'tcell', 'ttkom', 'vestl']",
2022-07-21 06:34:53+00:00,captainjacksprr,"Herkese günaydın sevgili #xu100 emekçileri :)

Bereketli olsun ...

#garan #asels #thyao #sise #sasa #kchol #sahol #dohol #akbnk #ykbnk #halkb #vestl #ekgyo #eregl #arclk",2,21,986,False,"['xu100', 'garan', 'asels', 'thyao', 'sise', 'sasa', 'kchol', 'sahol', 'dohol', 'akbnk', 'ykbnk', 'halkb', 'vestl', 'ekgyo', 'eregl', 'arclk']",
2022-07-21 06:09:06+00:00,FinansDunyamm,"Elektrikli Araçlar İçin Şarj İstasyonu Yatırımı Yapan Şirketler:

• Enerjisa  #ENJSA
• Aksen Enerji  #AKSEN
• Brisa  #BRİSA
• Vestel-Zorlu Enerji  #VESTL #ZOREN 
• Gersan Elektrik  #GEREL
• Esenboğa.  #ESEN",0,8,32,False,"['ENJSA', 'AKSEN', 'BRİSA', 'VESTL', 'ZOREN', 'GEREL', 'ESEN']",
2022-07-20 22:28:18+00:00,giraygokirmak,01:23:47 saatli taramada #VESTL orta vadeli trendi nötr oldu.,0,0,345,False,['VESTL'],
2022-07-20 20:18:23+00:00,BranStarkbey,"#vestl meta nikel ile batarya,zoren ile sarj,vesbe‘yi anlatmaya gerek yok.Birde Togg testleri basari ile biterse…Elbet birgün bununda zamani gelir",0,3,92,False,['vestl'],
2022-07-20 19:09:01+00:00,trendtakip09,#vestl #TOGG yollara düşünce #vestl 100 TL olsa kim ne diyebilir,0,1,171,False,"['vestl', 'TOGG', 'vestl']",
2022-07-20 18:13:31+00:00,ulumax,YATIRIMLARIM://  #enjsa #eregl #vestl #tursg #toaso #ulker #akgrt #akfgy,0,0,914,False,"['enjsa', 'eregl', 'vestl', 'tursg', 'toaso', 'ulker', 'akgrt', 'akfgy']",
2022-07-20 15:36:27+00:00,algotrader44,"#krdmd #tuprs #hekts #sasa #asesl #kchol #kozal  #tkfen #vestl #ttkom #tursg #ecilc #kozal #gubrf #oyakc #dohol #tcell #isgyo #karsn #garan #mgros
Bugün Pala Dayı İyi Öptü
Yanaktan Falan Değil
İtiraf Ediyorum
Universal Sistemi Çalıştırmam 
Sadece Yarım Gün Sürdü
Eskiye Döndüm
YTD",0,5,381,False,"['krdmd', 'tuprs', 'hekts', 'sasa', 'asesl', 'kchol', 'kozal', 'tkfen', 'vestl', 'ttkom', 'tursg', 'ecilc', 'kozal', 'gubrf', 'oyakc', 'dohol', 'tcell', 'isgyo', 'karsn', 'garan', 'mgros']",
2022-07-20 12:14:28+00:00,algotrader44,"#krdmd #tuprs #hekts #sasa #asesl #kchol #kozal  #tkfen #vestl #ttkom #tursg #ecilc #kozal #gubrf #oyakc #tskb #tcell #karsn #garan 
Bugün Üniversal (Tam Otomatik)  Sisteme 6 Tane Hisse Bağladım
kozal kozaa ecilc hektaş tskb karsn
İnşallah Uzun Süre Robot Kendisi Alır - Satar
YTD",0,5,381,False,"['krdmd', 'tuprs', 'hekts', 'sasa', 'asesl', 'kchol', 'kozal', 'tkfen', 'vestl', 'ttkom', 'tursg', 'ecilc', 'kozal', 'gubrf', 'oyakc', 'tskb', 'tcell', 'karsn', 'garan']",
2022-07-20 12:00:05+00:00,B0RSAM0NEY,"🟢 AYDA EN AZ %30 KAR GARANTİSİ 

🔵 DETAYLI BİLGİ İÇİN MESAJ ATINIZ!!!

   #vestl #vkgyo #iskpl #gedza #nibas #isbir",0,0,5042,False,"['vestl', 'vkgyo', 'iskpl', 'gedza', 'nibas', 'isbir']",
2022-07-20 10:43:53+00:00,TRD_SIGNALS_FX,"#dji #dax #nasdaq satış yedi,#bist için dikkatli olmakta fayda var.

#bist100 #bist30 #pgsus #vakbn #isctr #tekfn #VESTL #petkm #akbnk #kchol #sahol #asels #thyao #dolar #altın #xauusd #foreks",0,0,656,False,"['dji', 'dax', 'nasdaq', 'bist', 'bist100', 'bist30', 'pgsus', 'vakbn', 'isctr', 'tekfn', 'VESTL', 'petkm', 'akbnk', 'kchol', 'sahol', 'asels', 'thyao', 'dolar', 'altın', 'xauusd', 'foreks']",
2022-07-20 10:12:44+00:00,apranax07160094,Herkes #arclk bakarken #VESTL i kaldırdı şerefsiz,0,0,158,False,"['arclk', 'VESTL']",
2022-07-20 09:46:14+00:00,modimadi06,"⚡Elektronik İhracatı 7.3 Milyar$ ◾En fazla elektronik ihracatı yapan iller: İstanbul, Manisa, Denizli, Kocaeli ◾En fazla elektronik İhracatı yapılan ülke:İngiltere #Arclk #Vestl #Vesbe #Arzum #Klmsn #İheva #Klmsn #Silvr #Penta #Netas #Karel #İndes #Dgate #Despc #Arena",0,3,359,False,"['Arclk', 'Vestl', 'Vesbe', 'Arzum', 'Klmsn', 'İheva', 'Klmsn', 'Silvr', 'Penta', 'Netas', 'Karel', 'İndes', 'Dgate', 'Despc', 'Arena']",
2022-07-20 09:23:52+00:00,MelisKocc__,"Hazine Bakanı Nureddin Nebati “Türk Lirası daha fazla değer kaybedemez” dedikten sonra Türk Lirası yaklaşık %15 daha değer kaybetti

#thyao #doco #tavhl #pgsus #arclk #egeen #vestl #otkar #toaso #froto #akbnk #garan #sise #kartn #gsdde #celha #sanfm #vestl #vkgyo #eregl",4,31,2244,False,"['thyao', 'doco', 'tavhl', 'pgsus', 'arclk', 'egeen', 'vestl', 'otkar', 'toaso', 'froto', 'akbnk', 'garan', 'sise', 'kartn', 'gsdde', 'celha', 'sanfm', 'vestl', 'vkgyo', 'eregl']",
2022-07-20 08:13:36+00:00,borsarigor,#vestl ekledim portföye,0,1,792,False,['vestl'],
2022-07-20 08:10:36+00:00,ferxkon,#TOGG şuan zorlu center da sergileniyormus eee #vestl ne bekliyorsun yuruuuuuuu,0,1,10921,False,"['TOGG', 'vestl']",
2022-07-20 07:40:36+00:00,giraygokirmak,10:36:45 saatli taramada #VESTL için saatlik periyotta Düşen Genişleyen Takoz Formasyonu (Yükseliş) onaylandı.,0,0,345,False,['VESTL'],
