id,text,date,user,rt,fav,followers,verified,label
221221,"Yıl 2020  Bist100 tarafında bilanço dönemi ve yoğun araştırmalarım sonucunda gözüme iki şirket kestirdim.

#Ttkom ve #Tcell şirketlerinin bilançolarının beklentinin üzerinde geleceği analiz ederek hem Viop hemde Varant kısmında iki hafta öncesinden kademeli mal toplamaya başladım",2022-07-11 13:38:08+00:00,borsaparatic,17,180,220342,False,Pozitif#Yargı
221222,"Bloomberg Businessweek’in 3 Temmuz tarihli özel sayısında #TAVHL’ın son yatırımları ve hedefleri ele alındı:
📍Tav,Avrupa veya Abd’de ihale peşinde koşmayacak,bununla hakim ortak Group ADP ilgilenecek. 
📍Tav ise gözünü, yüksek büyüme potansiyeli olan doymamış pazarlara dikti. 1️⃣",2022-07-10 10:16:06+00:00,ibrahim___ethem,20,343,136873,False,Gerçek#Pozitif
221223,"en UCUZ #BIST 100 #hisse'leri
#SAHOL 18,68&gt;44,8
#INDES 7,92&gt;17,8
#VESTL 23,9&gt;52,9
#BUCIM 2,35&gt;4,7
#GOZDE 8,1&gt;15,9
#EREGL 26,52&gt;48,2
#KRDMD 10,79&gt;19,3
#PETKM 8,36&gt;14,7
#ALGYO 31,96&gt;55,6
#CIMSA 33,42&gt;55,3
#ISMEN 18,81&gt;30,7
#AKBNK 8,09&gt;12,8
FKO DD FAVÖK son verilerle
Kendime Not YTD",2022-07-09 20:53:12+00:00,ASIM_YALCINKAYA,107,934,138759,False,Gerçek#Pozitif
221224,"Kısa notlarımı paylaşmaya başlıyorum.
Bayramda her gün 1 şirket.
1. Şişecam #sise 
📍Şişecam ile Ciner, ABD'de yapılacak en büyük Türk yatırımını (4 milyar dolar) hedefliyor. 
📍Böylece Şişecam’ın soda külü kapasitesi 5 Milyon tondan 10 Milyon tona çıkacak. Ne zaman ? 2027'de.1⃣",2022-07-09 19:44:59+00:00,ibrahim___ethem,134,1529,136873,False,Pozitif#Yargı
221225,"📍İstanbul Havalimanı dün tarihinin en yüksek uçuş (1422) ve yolcu sayısına(230 bin) ulaştı.
📍#THYAO Haziran’da Dış hatlarda %83.2,iç hatlarda ise %87.2 doluluk oranına ulaştı.Haziran ayında taşınan kargo hacmi,2019 yılının aynı dönemine göre %17.7 artarak 146 bin tona ulaştı.",2022-07-09 07:01:24+00:00,ibrahim___ethem,23,379,136873,False,Gerçek#Nötr
221226,"📍Fortune 500 listesinde 2020 ve 2021’de yer alan,
📍2020’den 2021’ye en az 40 basamak yükselen,
📍Yıldız pazarda yer alan hisseler:
#KMPUR 374’den 272👉🏻102 
#TIRE 298’den 225👉🏻73
#HEKTS 347’den 294👉🏻53
#EGPRO 271’den 222👉🏻49
#GESAN 488’den 440👉🏻48 basamak",2022-07-08 13:02:50+00:00,ibrahim___ethem,62,665,136873,False,Gerçek#Nötr
221227,"Bi tatile gidip geldik 4-5 gün neler olmuş öyle. Bofa ,Eregl ye 18 tl hedef vermiş.Sevgili Bofa ,Allahaşkına 18 tl yapsana #Eregl yi..Bi şey deneyeceğim:-)).Sadece kendimi değil ,henüz yeni üniversite sınavına giren çocuğumu da emekli yapayım!!Hadi be yap bize bu kıyağı!!Şapşik.",2022-07-08 07:14:06+00:00,____PASA____,79,1647,111568,False,Pozitif#Yargı
221228,Madem kimse yok #bist30 tahtası çizelim hacim gelsin 😂😂,2022-07-08 07:12:06+00:00,kursadbucak,2,349,156030,False,Nötr#Yargı
221229,"Malum 3 site taraması CUMA
GÜÇLÜ AL &amp; AL sinyalli #Bist hisseleri
#PEKGY 1,2 #THYAO 49,2
#PRKME 6,49 #SELEC 16,05
#NATEN 71 #KFEIN 25,02
#YATAS 14,76 #PENGD 5,45
#ITTFH 1,54 #KERVT 5,9
#INFO 10,87 #GLYHO 3,69
#ECILC 11,24 #TUKAS 14,17
#FONET 13,93 #YAYLA 4,78
Kendime Not YTD",2022-07-07 19:16:07+00:00,ASIM_YALCINKAYA,10,132,138759,False,Pozitif#Yargı
221230,"Hisse Senedi Dağılımım/Maliyetler
#EREGL %42.67  26,18
#TUPRS %19.77  245,1
#BIMAS %10.26  83,9
#KRDMD %8.61   10,50
#EKGYO %8.07    2,83
#ULKER %7.93    14,25
#LKMNH %2.69  16,41

Hayırlı uğurlu bereketli kazançlar nasip etsin
Çoluğumuzun çocuğumuzun rızkını artırsın, azaltmasın",2022-07-07 14:24:33+00:00,kursadbucak,96,1985,156030,False,Gerçek#Pozitif
221231,"#ekgyo 
Portföye ekliyorum 
Hayırlı bereketli olsun inşallah",2022-07-07 14:02:08+00:00,kursadbucak,5,502,156030,False,Pozitif#Yargı
221232,"Hisse Senedi Dağılımımım 
#EREGL %46.43
#TUPRS %21.47
#BIMAS %12.1
#KRDMD %9.36
#ULKER %10.64",2022-07-07 13:36:46+00:00,kursadbucak,34,1131,156030,False,Gerçek#Pozitif
221233,Ereğli Yatırımcıları için Kritik Haber! Bank of America #EREGL için hedef fiyatını 18.00 TL'ye düşürdü.,2022-07-07 11:06:11+00:00,finansanalizz,5,52,161588,False,Gerçek#Negatif
221234,"Kurumların #EREGL tahminleri hakkında ne düşünüyorsunuz. En düşük tahmin 18 TL. Bir üzerinde 22,55 TL var. Onun üzerinde 31,58 var. Bir üstü üstü 32 TL. Onunda zerinde 42,90 var. Onun da üzerinde 44,70 TL var. 

EREGL 26,16 TL'den işlem görüyor. Ne düşünüyorsunuz?",2022-07-07 10:39:51+00:00,zeynepxaktas,58,1291,182618,False,Gerçek#Nötr
221235,"#Ekgyo piyasa düşerken güçlü hareket etmiş. 291 üzerinde bu atağa devam etmesi beklenir. 
#Gyo lar güçlü trendlerine devam ediyorlar.",2022-07-07 10:01:47+00:00,ofegin,5,208,105853,False,Pozitif#Yargı
221236,"HSBC'nin 
#TAVHL için tavsiyesi ""al"", hedef fiyatı 61,10 TL
#MAVI için tavsiyesi ""al"", hedef fiyatın 72,00 TL",2022-07-07 09:49:20+00:00,ForeksTurkey,2,52,411900,False,Gerçek#Nötr
221237,"#XU100 Şimdilik 2425e kadar tepki yapabildik. Hisse seçimleri çok önemli! 
#Tuprs #Eregl #Krmd endeksi aşağı çekiyorlar...

Yan hisseleri daha marjlı ve güvenli buluyorum.",2022-07-07 08:40:57+00:00,ofegin,5,252,105853,False,Negatif#Yargı
221238,"#bimas 
Portföyüme ekliyorum 
Bereketli olsun inşallah",2022-07-07 07:41:18+00:00,kursadbucak,14,779,156030,False,Gerçek#Pozitif
221239,#ALKIM #ASELS #CMBTN #EGGUB #GUBRF #ISGSY #TCELL #TOASO #YKBNK Günlüklerinde PU oluşumu mevcut olanlar. Bir tepkisel hareket gelme ihtimalleri olabilir. 🤔,2022-07-07 07:33:40+00:00,Piri_KAPTAN,9,251,135214,False,Pozitif#Yargı
221240,"🚨HSBC, Ereğli ve Kardemir için tavsiyelerini korudu, fiyat hedeflerini aşağı yönlü revize etti. Yayımlanan rapora göre göre hisseler için AL tavsiyeleri korunurken
Ereğli için hedef fiyat 42,50 TL'den 32,00 TL'ye, Kardemir için 20,00 TL'den 13,00 TL'ye düşürüldü.
#krdmd #eregl",2022-07-07 06:59:36+00:00,kursadbucak,10,350,156030,False,Gerçek#Negatif#Nötr
221241,"HSBC, 
#ULKER HF 24 TL'den 22 TL'ye indirdi
#AEFES HF 40 TL'den 41 TL'ye yükseltti
#CCOLA HF 154 TL'den 162 TL'ye yükseltti
#KRDMD HF 20 TL'den 13 TL'ye indirdi
#EREGL HF 42,5 TL'den 32 TL'ye indirdi",2022-07-07 04:53:13+00:00,ForeksTurkey,18,115,411900,False,Gerçek#Negatif#Pozitif
221242,"Bugün devam ettirdiğim alımlarla alım hisse maliyetlerim;
#eregl 26,18
#tuprs 245,1
#krdmd 10,50
#ulker 14,25",2022-07-06 19:05:20+00:00,kursadbucak,58,1089,156030,False,Gerçek#Nötr
221243,"Şişecam #sise 
📍Bugün 20,76₺ ortalama ile 1.987.900 lot geri alındı.
🧘‍♂️Patron çıldırmış.",2022-07-06 16:53:20+00:00,ibrahim___ethem,34,903,136874,False,Gerçek#Pozitif
221244,"#xu100 güncel ağırlık sıralaması:
📍#EREGL %7,61
📍#THYAO %5,54
📍#SISE %5,34

🧘‍♂️Bist 100’de ilk 3 hissenin ağırlığı 18,49 oldu. Endekse hükmediyorlar.",2022-07-06 16:00:50+00:00,ibrahim___ethem,17,366,136874,False,Gerçek#Pozitif
221245,"05.07.2022 tarihinde geri alım yapan şirketler
#INVEO 50,000 adet 
#GEDIK 25,000 adet 
#SAHOL 1,000,000 adet 
#AYDEM 300,000 adet 
#VERUS 5,717 adet geri 
#SISE 1,135,510 adet 
#ALARK 46,500 adet 
#MPARK 93,587 adet geri alım yaptı.",2022-07-06 10:24:05+00:00,zeynepxaktas,11,310,182618,False,Gerçek#Pozitif
221246,"#tuprs portföyüme ekledim 
Allah utandırmasın hayırlı bereketli kazançlar sağlamamızı nasip etsin",2022-07-06 09:11:27+00:00,kursadbucak,14,921,156030,False,Gerçek#Pozitif
